Date,Mach type,Mach,Effect,Machine Area,Description,Resolution
4/29/2016,,RM222,,,Cannot adjust speed for regulating wheel,Adjusting wheel shaft pin obstructing rotation; Ground down
5/2/2016,,AIM 06,,,Bind at loader,Freed the bind but action is not smooth; May need Eng rework
5/2/2016,,Buehler Saw,,,Will not start,Magnetic interlock! Magnet part of lid is missing. Fabricated new magnetic trigger and mounted to lid
5/2/2016,,H15,,,St#6 Vertical motor loose,Gear box separating; Replaced with new GRM / Mill head replaced the next day 5/3
5/2/2016,,H22,,,St#10 spindle bearings bad,Swapped 35/60 with rebuilt unit on shelf
5/2/2016,,H27,,,Dip pan will not drain,Used an air hose to clear drain for operator; OPERATOR LEVEL
5/2/2016,,H31,,,Accumulator check requested,Was at 30bar; No issue
5/2/2016,,H39,,,Bad gear on saw unit,Swing shaft gear OK; Saw head swapped due to bearing wear
5/2/2016,,H8,,,Broken collet in collet housing #1,Removed housing and broken collet. Cleaned and reset clamping mechanism
5/2/2016,,I19,,,Electrical box on gusher pump at chiller unit broken,Repaired
5/2/2016,,I2,,,Alarm; Cylinder chucking pressure left by itself,Replaced chucking pressure valve with used valve but could not adjust pressure. Swapped A to B and B to A; machine ran
5/2/2016,,I2,,,Chucking cyclinder pressure alarms,Swapped solenoid valves A to B / B to A
5/2/2016,,I6,,,Drive faults,Replaced LT module on Sp#4
5/2/2016,,Sinico,,,Breaker for motor overtemp tripping,Short in motor temp switch wiring. Difficulty pulling wire from counduit. Replaced wiring and conduit
5/3/2016,,A75,,,P/O spindle reported running out causing eccentric ID chamfer,P/O spindle removed and rebuilt; bearings and critical internal components replaced
5/3/2016,,H12,,,Remove old load table / Bolt pedestal ,Completed
5/3/2016,,H27,,,Power outlet on table cracked,Replaced
5/3/2016,,H32,,,Table reported to have indexed without operator selecting it to do so,Found the table to be drifting; Table indexing valve replaced 6/1 by anthony
5/3/2016,,H5,,,Broken screws on loader tray; opers slamming bars,Replaced broken screws for bar loader tray. 
5/3/2016,,H8,,,Straddle mill cutter needs screws removed,Sectioned the tool holder to access damaged screws; Aligned each section and replaced M6 C'Sink screws 
5/4/2016,,H17,,,Unloader horizontal fault,Reset unload station and cycled power
5/4/2016,,H2,,,No Power / Machine will not start,Repair broken output card
5/4/2016,,H20,,,Loader INOP    ,Cancelled; Sackda repaired and was running
5/4/2016,,H31,,,St#4 bearing check,Replaced spindle with inventory unit
5/4/2016,,H39,,,Accumulator check requested,OK at 30bar
5/4/2016,,SC1,,,Workzone light INOP,Installed new lihghting fixture
5/5/2016,,H11,,,Accumulator check requested,Both accumulators at 25bar; charged to 30bar
5/5/2016,,H14,,,Broken feeder chain,Repaired
5/5/2016,,H15,,,St#6 Vertical mill motor / pulley worn,Re keyed pulley and hub; Was too small
5/5/2016,,H20,,,Loader will not stay lined up. Excessive play.,Pivot shaft is broken. Couldn't locate replacement parts. (Made in house) Operator running as is until parts are available
5/5/2016,,H34,,,Bar change occurring at the wrong time,Replaced HS counter
5/5/2016,,H5,,,Bar loader will not go inreverse,Feed pressure set too low; Operator level
5/5/2016,,I1,,,Side A door lock key bent,Key replaced; damaged because it was loose and operator(s) kept smashing door into interlock
5/5/2016,,I18,,,Iemca track #2 belt NO GOOD; Stirpped sections,Belt replaced         
5/5/2016,,SC1,,,Replaced front side door interlock,Installed
5/5/2016,,SC6,,,Workzone light INOP,Replaced light fixture
5/6/2016,,A76,,,Waer guard broken / Feed tube jammed at index,"Removed and replaced spindle tube, feed tube, and wear plate"
5/6/2016,,H2,,,St#5 bearings check requested,Spindle removed due to being crushed by overtightened flange; Replaced
5/6/2016,,H38,,,Chip conveyor INOP,Cleared jam
5/6/2016,,H5,,,Hydraulic leak St#8,Replaced Broken Hydraulic hose
5/7/2016,,H19,,,O/T faults,St#2 Cross drill siezed and burned motor; Replaced XC head and motor
5/7/2016,,H38,,,Hydraulic leak ,Repaired hose connection at cutoff unit
5/8/2016,,CG231,,,Cannot adjust regulating wheel speed,Freed stuck pulley
5/9/2016,,AIM 05,,,Broken wire St 6b,Repaired broken wire on linear potentiometer Sta. 6B
5/9/2016,,FPI,,,Leaking ball valve at FPI,Replaced leaking ball valve at water supply; Missing ORing
5/9/2016,,H12,,,#5 Not enough stroke for XD / #6 Rotating backwords / #8 Spindle hot,#5 Spindle adjusted / #6 Current polarity swapped at plug in / #8 Belt TOO tight and adjusted
5/9/2016,,H23,,,St#11 quill nut loose,Spindle found to have worn bearings; Rebuilt
5/9/2016,,H34,,,Vogel lube faults. ,Replaced controller board of Vogel unit
5/9/2016,,H38,,,New splash cover needed,Completed
5/9/2016,,I19,,,Bar facing travel sensor failure,Replaced frayed cable
5/9/2016,,Reid Grind,,,Hydraulic control swith NOK,Installed contact renewal kit for Hydraulic motor starter
5/9/2016,,SC1,,,Hydraulic pump overload,Motor temp alarm tripping breaker (No Hyd Fault) Replaced main spindle motor due to cooling fan failure
5/9/2016,,T105,,,Main Tool Slide rolls loose,Replaced rolls and posts; Rotated roll guide
5/9/2016,,Tsch 1,,,24 VDC short. Trips circuit breaker line 4131,"Traced short to input I:2/04. ""Meter part release"" sensor. Replaced sensor. Short was gone but escapement not working correctly. Sensor I:2/05 
""Meter hold part"" on all the time. Replaced sensor. At this point the machine would load 1 part and the pick and place would lower and the machine would stop.
Sensor I:1/08 ""Pick and place lowered"" not coming on. Replaced connector on cable. Machine ran. Returned machine to production at this point.
"
5/10/2016,,AIM 03,,,Loader issues reported,"Adjusted position sensor on right side, adjusted centering cylinder and adjusted stop for horizontal pick and place cylinder. Adjusted feed track assist air flow. Machine crashed again at end of shift."
5/10/2016,,H2,,,Accumulator check requested,Found at 30bar; No Issue
5/10/2016,,H22,,,Valve connections swapped on 3rd shift; Lines crosses,Shifted valve location (4 5 3) to eliminate possible wrong valve shut off. Now (5 4 3)
5/10/2016,,H24,,,St#8 spindle bearings worn; Confirmed ML,Replaced front end (26/80) bearings
5/10/2016,,H30,,,Vogel tank leak,Relaced fitting on Vogel pump
5/11/2016,,Anca,,,Replace oil and air filters,Completed
5/11/2016,,FPI,,,Blower making loud noise,Flange bearing failure; Bearings ordered and installed 
5/11/2016,,H15,,,St#12 CNC unit hydraulic pressure fluttering,Replaced hydraulic filter on CNC unit
5/11/2016,,H20,,,St2 prox did not go low alarm,Replaced emergency retract solenoid and fuse
5/11/2016,,H25,,,Bar change ocurring at the wrong time,Replaced HS counter and ran a learn mode
5/11/2016,,H29,,,Check spindle bearings St#10,Replaced bearing in 35/60 spindle
5/11/2016,,H8,,,Saw unit INOP,Reset parameters to run in Auto
5/11/2016,,I2,,,Chucking cyclinder pressure alarms,Replaced collet close pressure switch Side A
5/11/2016,,I4,,,Drive fault; A5 Speed controller against stop,Machine would fault when both A and B spindles where at soft limit. Proved it out by adding a delay between spindles and having only one spindle on a soft limit at a time. 
5/12/2016,,FPI,,,Rinse tank Gould pump leak,Replaced mechanical seal and flange gasket
5/12/2016,,H23,,,Coolant pump motor contactor overload,Reset contactor afetr clearing bind at Mag fines filter; Scraper missing!! 
5/12/2016,,H30,,,Bar loading issues,Adjusted loader speed and settings
5/12/2016,,I18,,,Spindles 1 and 4 OFF for bar Clamp faults,Found spindles 2 and 4 OFF;  Added hydraulic fluid and turned back ON; No issues reported (Posted 5/17)
5/12/2016,,I3,,,Loader ram INOP,Replaced Numatics solenoid valve for loading actuator
5/12/2016,,RM226,,,Regulating wheel INOP,Cleaned VSD; Very dirty and sticky
5/13/2016,,AIM 03,,,Loader not ready alarm,Adjusted shuttle height and lined up loader
5/13/2016,,AIM 04,,,Loader issues,Loader will not go to the right side. Adjusted centering cylinder flow control
5/13/2016,,H4,,,Bar change faults; Bar end too long hitting (spindle head ??????),Accumulator found at 20bar and charged to 30bar; No issue reported since (Posted 5/19)
5/13/2016,,H7,,,Coolant flow low,Replaced impellor and housing on pump but still low; Found filter canister strainers missing. Filter bags being sucked into coolant pipe
5/13/2016,,H8,,,St#11 motor hub worn,Replaced along with back end spindle drive and bearings
5/13/2016,,I18,,,Iemca will not load in AUTO,Replaced encoder
5/13/2016,,TK3,,,Coolant punp INOP,"Promed filter, replaced worn fitting and hose"
5/13/2016,,Tsch 1,,,Heavy vibration from regulating wheel spindle,Adjusted Velocity Gain from 1200 to 900
5/14/2016,,H15,,,St#6 Vertical will not complete cycle,Motor Hub and Pulley damaged by keyway torque; Replaced both but machine failed again.
5/14/2016,,I1,,,Controller screen broken; Looks to have been punched,Antistatic polycarbonite ordered ($40 MCM) cut and installed
5/14/2016,,TK3,,,Reported loader issues,"Loader referrenced out of sequence; corrected but machine cycles once and faults with Z axis alarm. Yamazen tech called, arrived on 5/19 at 1230. Found the turret carrier contacting a wiring bundle and stripped the insulation shorting the Z axis travel. Wiring repaired and bundle secured."
5/16/2016,,Deco 1,,,Blown airline,Plug unused airline at solenoid
5/16/2016,,H7,,,Inverter on 1st side INOP,"Added 2nd accumulator, replaced seals in invert valve, swapped invert valve with H11 ; Valve removed to be rebuilt"
5/16/2016,,I1,,,Chip conveyor jammed,Unjammed chip converyor
5/16/2016,,I1,,,Turret 3 coolant flow weak,Removed and cleaned turret; reset and aligned
5/16/2016,,I2,,,Turret not locking,Replaced turret position sensor
5/16/2016,,I5,,,Blown airline at rear of Iemca; Won't load in Auto,Replaced airline
5/16/2016,,Sinico,,,"Hydraulic solenoid valve in pump area, smoking",Solenoid connectors hot and melted; Replaced whole Rexroth valve
5/17/2016,,H20,,,ST2 low fault,JPM replaced table index valve coil / ML replaced connection cable and returned to replaced St#10 spindle valve
5/17/2016,,H23,,,Coolant/Contactor overload fault,"Magnetic fines scraper tripped overload. Unit was removed and wiring jumped out to keep machine running. Scraper plate repaired, new wiring and protective conduit installed"
5/17/2016,,H3,,,St#11 bearings reported worn,Replaced bearings set at front end of spindle Completed by 0815
5/17/2016,,I17,,,Air leak behind collets,Replaced airline
5/18/2016,,H11,,,Inverter failing to push part back into collet,Reducing orifice added to 'push rod in' cycle
5/18/2016,,H15,,,St#6 vertical jammed again,Freed cutter jammed in part / Replaced drive belt / Confirmed mill head OK / (Bob) adjusted rapid approach to ensure proper position before cutting
5/18/2016,,H34,,,St#5 brush unit stuck forward;  motor not spinning,Unjammed spindle / Replaced severely worn pulley / Belt too tight! 
5/18/2016,,RM 222,,,Switch replacement,Replaced broken ON/OFF Hydraulics switch
5/18/2016,,SC2,,,Feed belt worn,Replaced
5/18/2016,,Sinico,,,Bar end exit chute needs repair,Removed chhips from Jaw #1; No chute issue
5/18/2016,,Sinico,,,Hydraulic leak at clamp jaw set,"Denis removed jaw block for rebuild; Seals, Pistons, and Rings replaced.;  Steve installed"
5/19/2016,,A76,,,Pick off collet open/close switch NOK,Air line fell off due to dry rot; Cut line back and reattached
5/19/2016,,H1,,,Loading block pivot shaft broken,Replaced
5/19/2016,,H14,,,St#9 GRM reported as possibly failing,No Issue; GRM Good
5/19/2016,,H27,,,Excessive hydraulic consumption,Indexing valve rebuilt
5/19/2016,,H28,,,Screw on pusher dog falling out,Replaced both pusher dogs and pusher holders
5/19/2016,,H4,,,Bearings check St#10 (Chatter),Bearings worn; Replaced
5/20/2016,,H39,,,Accumulator check requested,At 30bar; No Issue
5/20/2016,,I18,,,Iemca track #6 broken; Spindle OFF,Track replaced
5/20/2016,,RM 222,,,Dresser feed piston leaking hydraulic fluid,Replaced with rebuilt unit
5/23/2016,,A69,,,6th Position slide variation,Cam Roll block assembly replaced 5/25;  T bolt modified 5/31; -Online
5/23/2016,,H32,,,Broken feeder chain,Repaired
5/23/2016,,I20,,,Parts receiver and offload chute in need of repair,Multiple adjustments made to both
5/23/2016,,I4,,,Side B collet will not open,Activated 'Workpiece clamping' in controller
5/23/2016,,TK3,,,Workzone light INOP,Replaced bulb
5/24/2016,,A76,,,Center shaft loud,Replaced drive gears on shaft; Multiple teeth missing
5/24/2016,,H25,,,Utility O/T faults,Adjusted piston sensor on brushing unit
5/24/2016,,H26,,,CNC HSK Clamp screw stripped,Removed stripped screw and replaced clamp
5/24/2016,,H33,,,Bar feeder chain broken,Repaired
5/24/2016,,I18,,,Hydraulic leak at back end of channel carrier,Replaced ruptured Hyd hose 23A
5/24/2016,,SC3,,,Milling clutch faults,Replaced clutch control relay 
5/25/2016,,A77,,,Power loss,Bad contactor coil; Borrowed from A75 while waiting for new A/B 120v 60cycle
5/25/2016,,H24,,,Utility O/T faults,Reset brushing unit breaker
5/25/2016,,H26,,,CNC unit HSK tool holder clamp stripped screw,Removed and replaced HSK clamp
5/25/2016,,H38,,,Locking screw on drawbar adjusting nut stripped,Removed and replaced
5/25/2016,,H38,,,Stripped adjusing nut on drawbar,Repaired adjusting nut and threaded end od drawbar
5/25/2016,,I17,,,Pick Off spindle seized; Synchron spindle,Rebuilt Synchron spindle
5/27/2016,,H1,,,Coolant pump motor tripping breaker,Single leg fuse blown at main disconnect  for bus; switch gear
5/27/2016,,H23,,,PLC1 Alarm,Single leg fuse blown at main disconnect  for bus; switch gear
5/27/2016,,T97,,,Falling out of gear,Clutch adjusted again
5/31/2016,,A69,,,Broken fitting at air intake on Pick Off,Replaced fitting and airline
5/31/2016,,Deco 2,,,Breaker FR6 will not reset,Reset breaker / Had a low battery alarm; Replaced batteries
5/31/2016,,H17,,,Satellites #11 & #12 will not rotate,Synchronized rotation
5/31/2016,,H36,,,Coolant contactor  overload,Reset plug in receptacle and breaker
5/31/2016,,H39,,,Bar not feeding / Bar wrap around; Fault,Watched two bar changes with NO issue; Replaced pusher dogs with new wider dogs preemptively
5/31/2016,,H5,,,Pendant is blank; machine has power,Cycled power to machine; Online
5/31/2016,,H6,,,Repeat Vogel faults,Replaced Vogel tank
5/31/2016,,I17,,,Axis 3.2 will not move,Swapped performance module 3.2 with 3.1; Fault cleared
5/31/2016,,I6,,,Turret 3 Not Coming Under Control; Fault,Swapped turret performance modules and cycled power; Multiple faults cleared
5/31/2016,,SC2,,,OP 25 Controller NOK; Will not boot up and false characters on screen,Replaced OP25 with serviced unit; Online
5/31/2016,,T97,,,Falling out of gear,Clutch adjusted again
6/1/2016,Mitsu FT,Mitsu FT,Brake not stopping when in gear,Brake,Brakes worn; Not stopping when in gear,Repaired
6/1/2016,H,H8,Collet failure,Collet,St#7 rotator collet broken; wait for Bob B to show him how to remove,Machine went offline on 6/8; Marcel removed and instructed Bob B on removal/install process
6/1/2016,H,H8,Rounder arbor bolt,,St#14 vertical mill head arbor bolt has rounded head; Cannot remove,Operator removed
6/1/2016,SC,SC7,,Bearings,Spindle #8 has confirmed end play to .003; Requires bearings,
6/1/2016,,H32,,,Table drifting when at half table; See May 3,Installed new table indexing valve
6/1/2016,,I6,,,Door will not lock Side A,Interlock replaced
6/2/2016,Deco,Deco 3,Alarm #445,Axis,Alarm# 445 Axis soft disconnect alarm,Reported that Norm jiggled Y1 axis cable and cleard alarm
6/2/2016,H,H4,Bearings noise,Bearings,St# 10 bearings check requested; Chatter and loss of tooling,No lift or play found in spindle; Bearings replaced 20 May
6/2/2016,Tsch,Tsch 1,Coolant Pressure Low,Coolant System,Coolant pressure to dresser too low,Replaced flow valve to dresser coolant line and cleaned area at intake pump. Machine scheduled for base cleaning tomorrow AM
6/2/2016,H,H12,Inverter INOP,Inverter,Inverter not functioning / St#7 vertical being installed for CS setup,Replaced blown fuse on inverter output board
6/2/2016,A,A67,Slow power ,Electrical,Slow Power,"Replaced worn Hihg Speed change Shaft, Gears, and Bearings"
6/2/2016,I,I5,Chiller pump losing prime,Chiller Pump,Chiller pump till losing its prime,Removed intake piping and redoped all fittings
6/2/2016,H,H17,Indexer Fault,Indexer,Excessive indexers not in position faults,(6/2)JPM reset #11 and cycled w/o parts for 3 hours; No faults. Production installed burnishing tool and running.
6/2/2016,AcuCut,AcuCut,Indexer Fault,Indexer,Indexer faults,Replaced 802T-DGP Roller Limit switch
6/2/2016,I,I17,Pick off ejector INOP,Pick Off,Pick Off ejector pin will not move,Open the flow control to allow pressure to the parts ejector; Set screw loose on flow valve OPLEV
6/2/2016,,,Hang fan from wall,,Hang fan from wall in the corner at machine H11,Install completed
6/2/2016,TK,TK2,Light INOP,Light,Workzone light INOP,
6/3/2016,SC,SC3,Iemca will not load in Auto,LEMCA,Iemca upper bar loading sequence INOP; Not loading new bar onto loading bracket.,"Airline pinched by machine guard, feed."
6/3/2016,SC,SH8,Mist collector venting mist,Mist Collector,"Mist collector venting mist; Attached to Ewag, over Tornos",Damaged insulator and wiring replaced
6/3/2016,I,I4,Transport INOP,Chain,B Side Transport INOP; Broken chain,Replaced broken master pin; DK needed to mfg.
6/3/2016,H,H8,Oil leak,Oil System,Station #3 leaking oil,No Leak found
6/3/2016,H,H12,Brush unit INOP,Brush Unit,St# 10 brushing unit not firing,Bad proximity switch cable and 4 relays replaced
6/3/2016,H,H38,Vogel lube fault,Vogel,Vogel lube faults,Replaced Vogel lube pump unit
6/3/2016,SC,SC3,Bar loader alarm,Bar,Bar loader alarms,Cleared by Steve Salley; Loose facing travel flag sensor
6/3/2016,I,I2,Turret full of chips,Turret,Side A turret is full of chips,"Turret removed, cleaned, reset, and aligned; Training Jose Hernandez on 'how to'"
6/3/2016,H,H19,Cross Drill head breaking tools,Drill Head,Check cross drill head; Breaking tools,Sackda delivered a XD head and was issued a rebuilt unit which he installed!
6/3/2016,SC,SC11,Remove wiring request,,Request for Q Axis wiring to be removed from Q2 Position; Standard hand adjusted slide installed by Steve,Wiring removed but machine faulted! See new SC11 work order 6/6 SC11
6/3/2016,Deco,Deco 1,Spindle crash,Spindle,Sub Spindle Crashed; Cannot hold OAL or R/O,Sub spindle has limited lateral movement from crash. Collet will not close on part
6/3/2016,H,H23,Chip conveyor INOP,Chip Conveyor,Chip conveyor jammed; Opers have hook stuck in base,
6/4/2016,H,H1,Accumulator check requested,Accumulator,Accumulator check requested,Charged
6/4/2016,H,H5,Table index faults,Table,Table index overtime fault; Table down is slow,Adjusted table index valve
6/4/2016,H,H5,Valve INOP,Valve,St# 3 valve NOK,Replaced valve
6/6/2016,H,H39,Accumulator check requested,Accumulator,Accumulator check requested; Breaking reamer,Was at 25bar; Charged to 30bar
6/6/2016,H,H24,Accumulator check requested,Accumulator,Accumulator check requested; Per PM slip,Was at 25bar; Charged to 30bar
6/6/2016,I,I5,Hydraulic Leak,Hydraulic System,Hydraulic leak at bar loader; Rubber seal on vacuum,Tightened leaking fitting at rear of Iemca
6/6/2016,SC,SC5,Hydraulic pressure issue,Hydraulic System,Hydraulics pressure not reaching 50bar,Was at 20bar; Charged to 25bar
6/6/2016,SC,SC3,Bar loader not loading,Bar,Barloader not loading new bar,Placed a jumper wire to keep loader in AUTO; New switch on order
6/6/2016,H,H8,Low tool life,,Assess cut off unit unit; Low tool life on H8 compared to H15 CS1001,Checked cycle time and RPM; OK / No play found in saw attachment
6/6/2016,H,H1,Accumulator check requested,Accumulator,Accumulator check requested,Confirmed at 30bar; Last done 06/04 by Marcel
6/6/2016,H,H4,Bar change O/T fault,Bar,Bar Change overtime fault,Scared away by Russ; No Maintenance effort applied
6/6/2016,I,I17,Axis 3.2 will not move,Axis,Axis 3.2 will not move,Swapped performance modules 3.1 to 3.2
6/6/2016,H,H17,Indexer Fault,Indexer,Indexer #11 Fault,Tony Plugged into PLC and found a bad switch at Hoizontal Unit Home; Proximity switch replaced
6/6/2016,H,H1,Bearings check,Bearings,St#7 20/80 spindle bearings worn,"Spindle removed, bearings replaced, and installed but running too hot. Rebuilt separate unit and installed 6/7"
6/6/2016,Index,Index,Mist collector leaking oil,Mist Collector,Mist collector leaking oil,Corrected
6/6/2016,T,T99,Solenoid linkage sticking,,Solenoid linkage sticking,Sticking linkage repaired; Electrical issue followed. Transformer failed; Borrowed from T91 to get online
6/6/2016,SC,SC11,Motor fault,Motor,Servo Not Ready Fault,See Maintenance Notes 6/7/16
6/7/2016,Rosemont,Rosemont,Belt broken,Belt,Belt broken,Belt replaced
6/7/2016,Sinico,Sinico,Bolt Broken,Bolt,Slide Bolt broken,Chips cleared from adjusting area LHE and turned over to oper
6/7/2016,SC,SC10,Screen frozen,Misc,Screen Frozen,Steve Salley installed spare OP25 controller
6/7/2016,Tsch,Tsch 1,Coolant Leak,Coolant System,Major coolant leak at front of machine,Fernco 90* elbows ordered (6/8); Installed 6/13
6/7/2016,I,I17,NC/PLC Alarm,,NC / PLC alarms,Replaced axis 3.2 servo motor
6/7/2016,H,H38,Hydraulic Leak,Hydraulic System,St#6 valve leaking hydraulic,Replaced O Rings in St#6 hydraulic flange valve stack
6/7/2016,H,H16,Wash conveyor jammed,Washer,Wash conveyor track jammed,Shaft at idler end moved over. Sprocket on one side not engaging belt
6/7/2016,H,H5,Table index faults,Table,Table index overtime / reported at 3 to 4 times per hour,Went offline at 1100 / Replaced the table index valve solenoid (6/7); Machine down again at 1500. Table indexing valve rebuilt and installed 6/8
6/7/2016,H,H4,Bearings check,Bearings,St#10 bearings check again; 5 trepan tool losses in a week,Rebuilt spindle per request (Also May 20); Tool broke after rebuild
6/7/2016,H,H17,Brush unit stuck forward,Brush Unit,Burnishing unit spindle still forward when table indexes,No electronic issues found; Replaced the spindle valve
6/7/2016,H,H20,Loader not moving forward,Loader,Loader not moving forward,loose connection repaired
6/8/2016,H,H8,Parts spun in collets,Accumulator/ Collet,Accumulator check requested; Parts spun in collets 6/7,Sam Jett addressed this but no report issued on accumulator status prior to.......
6/8/2016,H,H31,Stripped Screw,Clamp,St#5 tool holer clamp; stripped screw (VDI),Removed and replaced PCM clamp screw
6/8/2016,H,H16,Valve firing in rapid,Valve,St#10 Valve reported to to be firing in rapid,Anthony rebuilt the RA valve and returned to Russ for install
6/8/2016,H,H20,Loader not loading,Loader,Loader not loading every station,Mike Morra reviewed and believes the linkage to be worn / JPM
6/8/2016,H,H33,Hydraulic Leak,Hydraulic System/ Vogel,Hydraulic oil getting into Vogel waste oil,See 6/13 H33
6/9/2016,H,H25,Accumulator check requested,Accumulator,LP Accumulator bladder ruptured,"Replaced bladder, charged, tagged, and installed"
6/9/2016,A,A78,Collet will not open,Collet,Pick Off collet not openning; caused a fire,Rebuild air valve to pick off actuator
6/9/2016,T,T103,Base cleaning requested,Base,Base cleaning requested,Base cleaned after Brian arrived
6/9/2016,I,I5,Spindle shut down,Spindle,Spindle #1 shut down; Reportedly seized,Disassembled for bearings on siezed spinlde (6/16) / Spindle bearings replaced and components reassembled. Machine would not index during reassembly; Hirth Coupling was not seated squarely in carrier plate and bound indexing action. Pressed flat into carrier and reassembled.
6/9/2016,Rosemont,Rosemont,Tumbler INOP,Tumbler,Tumbler INOP,Belt replaced (2nd time in last 48 hours) See line 6/7 Rosemont
6/9/2016,H,H14,Bar loader feed chain broken/ Vogel failure,Bar/ Vogel,Bar loader feed chain broken,Repaired chain; Vogel failure immediately after chain repaired; SA replaced Vogel pump
6/9/2016,Sinico,Sinico,Missing bolts,Bolt,Missing bolt on front side,"LHE Chamfer unit removed for repair (6/9); Ground away worn section of traveler and shimmed square. Cleaned all components, reinstalled and aligned chamfer unit; Online at 1400"
6/9/2016,T,T99,Drive shaft not disengaging ,Drive Fault,Drive shaft doesn't disengage with cycle stop,Replaced control relay
6/9/2016,AcuCut,AcuCut,No power,Electrical,No power to feed bowl,No power caused by blown .7A fuse in connection drawing 8A; Installed a 10A fuse.
6/9/2016,H,H5,Table drift   ,Table,Table drifting at 1/2 table setting,Replaced Table Indexing valve with rebuilt valve that was removed from H32. Table would not drop after installing the valve so John replaced the flow control for the table UP/DOWN Hydraulic s; Online
6/9/2016,H,H15,Machine fault with new bar load,Bar,Machine fault at every bar load,replaced proximity switch and cable for saw UP signal
6/9/2016,H,H3,Broken screw,Screw,Broken screw in pusher hoolder,Removed broken screw and replaced pusher dog
6/9/2016,I,I1,Loading damaged parts,,Sensor recognizing part reay to load damaged and staying active,Sensor replaced and wired in
6/9/2016,H,H40,Spindle run out ,Spindle,St#14 spindle run out ?? /Tool Holder not flush to drive spindle face,Replaced drive spinlde
6/9/2016,H,H39,,Bar,Bar loader,Requested plug in by Tony who contacted Hydromat. Reduced feed pressure and compensated by increasing feed speed. Also reduced remnant length
6/9/2016,H,H25,,Bar,Bar loader,Placed in learn mode 2X and changed 2nd cutoff sequence length (Only at bar change) from .9 to .5
6/10/2016,T,T105,Collet opened,Collet,Collet popped open,Replaced collet closing roll
6/10/2016,T,T99,Counter INOP,Counter,Counter not working,Repaired
6/10/2016,RM,RM227,Broken screw,Screw,Broken screw on regulating wheel adjuster,Removed broken screw
6/10/2016,H,H5,Machine will not table,,Machine will not table,"Tricked table down prox, adjusted table speed"
6/11/2016,H,H35,Light INOP,Light,Overhead light broken,Ballast replaced
6/11/2016,I,I18,Guide channel open cyclinder rod bent,,Guide channel open cylinder rod bent,Replaced broken pusher truck and bent cylinder. Relocated #26 hydraulic line and straightened bent (Steel) hydraulic lines.
6/11/2016,H,H1 Buss,"Bus bar to H1 voltage leg range; 573, 35, 280",Electrical,"Bus bar to H1 voltage leg range; 573, 35, 280",
6/11/2016,H,H23,Drill detector INOP,Drill Detector,St#3 spindle is loud / St#2 drill detector broken,
6/12/2016,H,H5,Bottom XD head not spinning,,Bottom XD head not spinning,Replaced broken drive gears
6/12/2016,H,H24,Brush Unit Crashed ,Brush Unit/Breaker,Spindle Overload breaker tripping St#11,Brushing unit crashed in a forward stroke. The unit was backed off and the lead screw repaired.
6/13/2016,H,H26,Brush unit stuck forward,Brush Unit,Brush unit # ?? Not returning / Control pivot ?? (Non informative W/O),Adjusted brake on brush motor / Control pivot OK / Tony sequenced #5 brush unit and vertical mill
6/13/2016,T,T105,Collet failure,Collet,Two collet alignment keys badly worn,Replaced both keys; Needed to remove spindle liners to extract bad keys
6/13/2016,H,H31,Drill detector INOP,Drill Detector,St#2 drill detector INOP,Hub was missing; Replaced
6/13/2016,H,H5,Hydraulic Leak,HP Pump,Leak at High Pressure pump,No leak found by Anthony or Russ
6/13/2016,I,I19,Alternating slides not finishing,Alternating Slides,Alternating slides not finishing,See 6/15 I19
6/13/2016,I,I20,Alternating slides not finishing,Alternating Slides,Alternating slides not finishing,Replaced performance module and activated spindle #6
6/13/2016,TK,TK3,Collet will not open,Collet,Machine faults every 15 cycles; Collet does not open,Norm Neveux aligned the robot loader; Online
6/13/2016,H,H40,Brush unit has broken screws,Brush Unit,"Brush unit cylinder has broken screws (Part is from H34, removed last night 3rd)",JPM started to repair having broken screw removed / Marcel reinstalled
6/13/2016,H,H11,Spindle not starting,Spindle,St#13 Spindle Does Not fire forward,Seals replaced in 30/60 spindle
6/13/2016,SC,SC10,Part ejector fault,Part Ejector,Parts ejector fault,Steve Salley replaced ejector solenoid
6/13/2016,H,H40,Hydraulic flange not completing cut,Hydraulic System,Hydraulic flange (??) issue (Instructed Marcel to see Gerry D),26/80 units with PCM tool holder clamping do not have enough depth of stroke. Spindle shafts replaced with shafts using HSK clamping.
6/13/2016,H,H33,Vogel leak,Vogel,Leak at Vogel return reservoir,Cutoff unit rack drive leaking seals and returning through Vogel return line. Temporarily directed this return line into Hydraulics return. Will need to schedule rack drive seal repairs.
6/14/2016,H,H14,Bar loader loading too far,Bar,Mach does not stop until bar end is loaded in collet,Replaced HS counter
6/14/2016,H,H4,Bar loader loading too far,Bar,Bar end too long hitting table 4-5 times daily,Replaced HS counter and ran learn mode
6/14/2016,H,H26,Vogel lube fault,Vogel,Vogel lube faults,Replaced broken line fitting
6/14/2016,H,H15,Filter change requested/ Pulsing found in hydraulic lines,Hydraulic System,"Change CNC hyd filter; Bad finish, pulsing felt in hyd lines","Replaced NNXZ3 hydraulic filter, both power pack filters, and charged accumulators; all tagged"
6/14/2016,H,H25,Double cutting bar ends,Bar,Double cutting bar ends / Actually potential for loading bar tips,Ran learn mode
