Accumulator check requested,20bar charged to 30bar,accumulator/ low_pressure,check/ low ,charge,accumulator/ low_pressure,,H2,N,3/31/16,,3/31/16,,Sam Jett,SA,Steve Andreozzi,,accumulator,30bar,,check/ request/ charge,20bar,
Overload M17 tripped due to brush unit stuck forward,Unit extended sensor not coming ON -Loose sensor cable tightened,m_17/ brush_unit/ sensor_cable,stuck_forward/ trip/ overload/ loose,tighten,sensor_cable,,H27,Y,3/31/16,,3/31/16,,Sam Jett,SA,Steve Andreozzi,,unit/ sensor/ cable/ brush,trip,loose/ stuck/ overload/ trip,tighten,forward,
Install two drill detector brackets,Installed brackets and sensors,,,,,,H39,N,3/31/16,,3/31/16,,JPG,JPM,John Murray,,sensor/ drill/ detector/ bracket,,,install,,
Broken bar feeder chain,Repaired,bar_feeder/ chain/ bar,broken,repair,bar_feeder/ chain/ bar,,H5,Y,3/31/16,,3/31/16,,Sam Jett,SA,Steve Andreozzi,,chain/ feeder,,broken,repair,bar,
Maor coolant leak,Main coolant trunk gasket missing -Replaced,,,,,,H6,Y,3/31/16,,3/31/16,,JPG,AP,Anthony Paolillo,,coolant,,leak/ missing,replace,main/ major,
Chip conveyor jam,Cleared nest of chips drawn under hinge belt,chip_conveyor/ conveyor,jam,clear,jam,,I3,N,3/31/16,,3/31/16,,Jose H,MLW,Mike Lowell,,conveyor/ chip/ belt,,jam,clear,,
Feed overload faults,Swap feed motor per Ernie Kraus at Schutte -Swapped but no change,,,,,,SC4,N,3/31/16,,3/31/16,,JPG,JC,Jon Cousineau,,motor,,fault/ overload,swap,feed/ change,
Hyd leak at Iemca quick disconnect fitting,Replaced QD Fitting,hydraulic/ iemca/ quick_disconnect/ fitting,leak,replace,qd/ fitting,,I17,N,3/31/16,,4/7/16,,Sam Jett,JC,Jon Cousineau,,hydraulic/ iemca/ fitting,,leak,replace,,
St#9 Brush unit motor falling off mounting bracket,Replaced all mounting bolts with new -Operator level!!,st_9/ brush_unit/ motor/ operator,out_of_adjustment/ location/ error,train/ replace,operator/ bolt/ mounting_bolt,,H27,Y,4/1/16,,4/1/16,,JPG,SA,Steve Andreozzi,,station/ unit/ motor/ operator/ brush/ bolt/ bracket,fall,,replace,new/ level/ fall/ mounting,
Motor too hot/ and collision responded alarms,Collision sensor cable pulled from connection -Replaced / Wshorted connection on power pack repaired for too hot alarm,,,,,,I1,Y,4/1/16,,4/1/16,,J Con,SA,Steve Andreozzi,,motor/ sensor/ cable/ connector,,alarm,replace/ repair,power/ pack/ hot,
HS3 alarm -Spindle shut off,Repaired/Replaced spindles #3 and #5 Motor cables connectors,,,,,,I17,Y,4/1/16,,4/1/16,,Bruce,JC / Doug,Jon Cousineau/ Doug Patrick,,motor/ spindle/ cable/ connector,,alarm,replace/ repair,shut,
Cooling missing or consumed alarm,Replaced coolant level sensor,,,,,,I18,N,4/1/16,,4/1/16,,Norm,JC,Jon Cousineau,,coolant/ sensor,,alarm/ missing,replace,level/ cooling,
Transport/Gripper INOP,Replaced broken cable,,,,,,I3,Y,4/1/16,,4/1/16,,Bruce,DK,Denis Kusiak,,cable/ gripper,,broken/ inoperable,replace,transport,
Loose air hose to transport cushion,Replaced fitting -Operator level,,,,,,I4,Y,4/1/16,,4/1/16,,Sam Jett,SA,Steve Andreozzi,,operator/ air/ hose/ fitting,,loose,replace,level/ transport,
Mount shelf behind Hardinge lathe,Completed,,,complete,,,TR1,,4/1/16,,4/5/16,,Brian,MLW,Mike Lowell,,shelf,,,complete,mount,
Over travel fault on X axis,Yamazen tech found position location dog on X axis out of position. Machine faulted when unable to find position -Reset dog and grid shift to correct geometry,,,,,,TK3,Y,4/1/16,,4/7/16,,J Con,Tech,Technician,,machine/ axis/ position/ dog,,fault/ unable,reset/ correct,travel/ shift,
,,no_problem_described,,no_action_taken,,,Roto Finish,,4/2/16,,,,Mike C,,,,,,,,,
Loader issues,Shuttle assembly loose. 2 of 4 mounting screws stripped -Remounted,loader,issue,,,,AIM 03,Y,4/4/16,,4/4/16,,Maina,SA,Steve Andreozzi,,screw/ loader,,loose/ issue/ strip,,mounting,
St#2B overtime faults,Replaced solenoid,,,,,,AIM 14,Y,4/4/16,,4/4/16,,Maina,SA,Steve Andreozzi,,station/ solenoid,,fault,replace,overtime,
St#2 Not picking up part,Adjusted pick up collet,,,,,,AIM C43,Y,4/4/16,,4/4/16,,Maina,SA,Steve Andreozzi,,station/ collet,,,adjust,pick,
Loader vib doesn't stop when feed track is low,Replaced fiber optic sensor,,,,,,H17,N,4/4/16,,4/4/16,,Sam Jett,SA,Steve Andreozzi,,sensor/ loader,,,replace,feed/ low/ track/ stop,
Bar pusher faulting in same spot repeatedly,Replaced push dogs/ push dog holders/ and section of damaged chain,bar_pusher/ chain,fault/ broken,replace,push_dog/ push_dog_holder/ chain,,H22,N,4/4/16,,4/4/16,,Alex,ML / AP,Marcel Lefebvre/ Anthony Paolillo,,chain/ pusher/ dog/ holder,,broken/ fault,replace,bar/ push,
Spindle Hyd return lines not connected,Connected return lines,spindle/ hydraulic/ return_line/ hose,loose/ disconnected,reconnect,return_line/ hose,,H38,N,4/4/16,,4/4/16,,Gerry,JPM,John Murray,,spindle/ hydraulic,,,,returning,
Airline leak,Replaced air line,,,replace,airline,,H8,Y,4/4/16,,4/4/16,,Russ,JPM,John Murray,,air/ line,air_line,leak,replace,,
Chip conveyor jammed,Replaced broken clutch discs,chip_conveyor/ conveyor,jam,replace,clutch/ disc,,H8,Y,4/4/16,,4/4/16,,Sam Jett,SA,Steve Andreozzi,,conveyor/ chip/ clutch/ disc,,broken/ jam,replace,,
Side A turret leaking coolant,Removed/ cleaned/ reinstalled,,,,,,I1,Y,4/4/16,,4/4/16,,J Ware,JC,Jon Cousineau,,coolant/ turret,,leak,remove/ install/ clean,,
Ruptured airline at main inlet,Repaired airline,,,,,,I19,Y,4/4/16,,4/4/16,,Norm,JC,Jon Cousineau,,,air_line,rupture,repair,main,
Return brackets and guards,Replaced,,,replace,,,TK3,N,4/4/16,,4/4/16,,JPG,SA,Steve Andreozzi,,guard/ bracket,,,replace,returning,
No coolant flow -To grind wheel,Sticking valve freed - New valve from Coax ordered,,,,,,Tsch 1,Y,4/4/16,,4/4/16,,Orlando,DK,Denis Kusiak,,valve/ coolant/ flow/ wheel,,stick,order,new/ grind,
Vogel leak at St#3,Replaced fitting -Operator level,,,,,,H23,N,4/5/16,,4/5/16,,Sam Jett,SA,Steve Andreozzi,,station/ operator/ vogel/ fitting,,leak,replace,level,
Broken pin in saw head,Long time getting retainer off hun to replace pin,pin/ saw_head/ saw,broken,replace,pin,,H34,Y,4/5/16,,4/5/16,,Sam Jett,SA / Syth,Steve Andreozzi,,head/ saw/ pin,,broken,replace,time,
Machine in E Stop mode,Replaced blown fuse,,,,,,H38,Y,4/5/16,,4/5/16,,Sam Jett,SA,Steve Andreozzi,,machine/ fuse,,blown,replace,stop,
St#6 Vertical mill not rotating,Replaced broken drive shaft -Mill head OK,,,,,,H8,Y,4/5/16,,4/5/16,,Bruce,JPM,John Murray,,station/ head/ shaft/ vertical,,broken,replace/ ok,drive,
Offload automation sometimes not retracting stop pin at end of cycle,Minor adjustment made to slide home sensor,,,,,,I17,N,4/5/16,,4/5/16,,Sam Jett,SA,Steve Andreozzi,,sensor/ pin/ offload/ slide,,,adjust,end/ stop/ cycle/ home,
St#12 brush unit needs rebuild -Pulleys wearing out,No issue other than bad belt -Replaced,brush_unit/ belt/ st_12/ pulley,rebuild/ worn/ broken,replace,belt,,H26,N,4/5/16,,4/6/16,,Alex,JPM,John Murray,,station/ unit/ belt/ brush/ pulley,,broken/ issue,replace/ rebuild/ need,12,
HP Hyd pump leaking hyd,Replaced leaking pump,hp/ hydraulic/ pump,leak,replace,pump,,H4,N,4/5/16,,4/12/16,,RES,AP,Anthony Paolillo,,hydraulic/ pump,,leak,replace,hp,
Collet jammed in spindle housing,Collet not installed correctly……locking screw set into retaining threads of 5C collet. Cleared and new collet installed but drive borrowed for TK2 -Repairs completed with Tech assist on 4/15,,,,,,TK4,Y,4/5/16,,4/15/16,,Bruce,DK,Denis Kusiak,,spindle/ screw/ collet/ housing/ thread,,jam,repair/ complete/ install/ clear/ set,new/ drive/ locking,
Parts not feeding well at station #1,Increased air flow at end of track jet,,,,,,AIM 05,N,4/6/16,,4/6/16,,Maina,SA,Steve Andreozzi,,station/ part/ air/ flow,,,,track/ end/ feeding,
Table index OT faults,Cleared chips from table down prox /Replaced prox / Set table speed,table_index/ table,fault/ o/t_fault,clear/ replace/ adjust,chip/ proximity/ table_speed,,H3,Y,4/6/16,,4/6/16,,Gio,ML,Marcel Lefebvre,,table/ chip/ prox/ index/ speed,,fault,replace/ clear/ set,,
Chip conveyor jam,Cleared,chip_conveyor/ conveyor,jam,clear,chip_conveyor/ conveyor,,I3,N,4/6/16,,4/6/16,,J Con,MLW,Mike Lowell,,conveyor/ chip,,jam,clear,,
Replace missing and broken outlet covers,Completed,,,complete,,,ISO AIM,,4/6/16,,4/6/16,,JPG,SA,Steve Andreozzi,,cover,,broken/ missing,replace/ complete,,
Accumulator check requested -Saw unit dropped,Main accumulator flat -Replaced bladder,accumulator/ saw_unit/ saw,check/ flat/ drop,replace,bladder,,Sinico,N,4/6/16,,4/6/16,,Sam Jett,SA,Steve Andreozzi,,unit/ accumulator/ saw/ bladder,,,replace/ check/ request,main,
Machine drifting into work zone,Clutch adjusted,,,adjust,clutch,,T97,Y,4/6/16,,4/6/16,,Mike L,MLW,Mike Lowell,,machine/ clutch,,,adjust,,
Broken pin on saw head,Replaced entire cutoff unit due to beaing failure in spline drive -wrong pulleys on drive,pin/ saw_head/ pulley/ saw,broken/ incorrect,replace,cut_off_unit,,H4,Y,4/6/16,,4/7/16,,Bruce,AP,Anthony Paolillo,,unit/ bearing/ head/ saw/ pin/ pulley,,broken/ failure,replace,drive,
Swap coolant pump with T98 for increased coolant flow,T98 not compatable -Repaired drive on exising pump but flow dod not increase,drive/ t_98/ coolant_pump,broken/ swap,no_action_taken/ repair,drive,,T92,N,4/6/16,,4/8/16,,JPG,MLW,Mike Lowell,,coolant/ pump/ flow,,,repair/ swap,drive,
Wire two new motors for Sensata,Completed,,,complete,,,H11,N,4/7/16,,4/7/16,,JPG,SA,Steve Andreozzi,,motor/ wire,,,complete,new,
Accumulator check requested,Both LP acc low at 15bar -Charged to 30bar,accumulator/ low_pressure,check/ low,charge,accumulator/ low_pressure,,H14,,4/7/16,,4/7/16,,Russ,AP,Anthony Paolillo,,accumulator/ low_pressure,30bar,,check/ request/ charge,low,
Vogel faults,Relaced manifold fitting at St#3 -Was replaced on 4/5,vogel,fault,,,,H23,Y,4/7/16,,4/7/16,,Sam Jett,SA,Steve Andreozzi,,station/ vogel/ fitting,,fault,replace,,
Table index OT faults,Cleared chips from table down prox /Replaced prox / Set table speed,table_index/ table,fault/ o/t_fault,clear/ replace/ adjust,chip/ proximity/ table_speed,,H29,Y,4/7/16,,4/7/16,,Alex,ML,Marcel Lefebvre,,table/ chip/ prox/ index/ speed,,fault,replace/ clear/ set,,
Vogel faults,Replaced T fitting,vogel,fault,,,,H4,Y,4/7/16,,4/7/16,,Sam Jett,SA,Steve Andreozzi,,vogel/ fitting,,fault,replace,,
Table index OT faults,Replaced table down prox,table_index/ table,fault/ o/t_fault,replace,table_down/ proximity,,H8,Y,4/7/16,,4/7/16,,Russ,JPM,John Murray,,table/ prox/ index,,fault,replace,,
Hyd leak at rear of Iemca,Replaced leaking hyd hose -Aslo preemptively replace 3 other hyd hoses,hydraulic/ iemca/ rear,leak,replace,hose/ hydraulic,,I5,N,4/7/16,,4/7/16,,Bruce,JC,Jon Cousineau,,hydraulic/ iemca/ hose/ rear,,leak,replace,,
Rebuilt dresser cylindar and directional valve,Spares to be installed when production requires,,,,,,RM223,N,4/7/16,,4/7/16,,JPG,SA,Steve Andreozzi,,valve/ cylinder,,,install/ rebuild/ require,spare,
Air leak at FRL,Pieced together a replacement bowl on filter part of FRL,,,,,,TK1,Y,4/7/16,,4/7/16,,Sam Jett,SA,Steve Andreozzi,,air/ filter/ replacement/ bowl,,leak,,frl,
Failure Frequency converter B #2024 Alrm,Unidrive replaced by RT Eng tech -Old unit sent for refurb,,,,,,Tsch 1,Y,4/7/16,,4/8/16,,Bruce,DK / Tech,Denis Kusiak/ Technician,,unit,,alarm/ failure,replace,,
Main head stock -broken adjusting screws for tooling post #1 and #2,Retrieved main head stock from machine at Induplate and installed after cleaning and lubing,,,,,,ES1,Y,4/7/16,,4/9/16,,RES,JC,Jon Cousineau,,machine/ screw/ head/ stock,,broken,install/ adjust/ clean,main,
Pendant not responding,Replaced main bundle cable -Tony adjusted program afetr completed,,,,,,H38,Y,4/7/16,,4/12/16,,Bruce,ML /TL,Marcel Lefebvre/ Tony Lobo,,cable/ pendant/ person,,,replace/ complete/ adjust,main,
Broken inverter rod,JPM minor assit to Alex for repair,inverter_rod,broken,repair,inverter_rod,,H36,Y,4/8/16,,4/8/16,,Bruce,Alex / JPM,Alex Breault/ John Murray,,inverter/ rod/ person,,broken,repair,,
Side A turret not locking,No issue found -Cleaned and reset turret,,,,,,I2,Y,4/8/16,,4/11/16,,J Con,DK,Denis Kusiak,,turret,,issue,clean/ reset,locking,
Broken spring in recessing unit,Swapped recess spindle -Will rebuild unit removed,,,,,,H14,Y,4/9/16,,4/9/16,,Russ,ML,Marcel Lefebvre,,unit/ spindle,,broken,remove/ rebuild/ swap,,
Receiving unit INOP,Replaced prox switch registering parts catcher position,,,,,,I20,Y,4/9/16,,4/9/16,,Bruce,JC,Jon Cousineau,,unit/ part/ prox/ position/ catcher,,inoperable,replace,switch,
St#6 Spindle seized,Rebuilt both front end and back end of spindle -Online for 2pm,,,,,,H17,Y,4/11/16,,4/11/16,,Norm,AP,Anthony Paolillo,,station/ spindle,,seize,rebuild,end/ online,
St#12 (trepan) not repeating? Random length,Started after operator changed tool -2nd shift operator reset tool and closed containment,,,,,,H19,N,4/11/16,,4/11/16,,Norm,AP,Anthony Paolillo,,station/ operator/ tool,,,reset,12/ shift/ closed,
Brush unit INOP,Replaced motor contactor,brush_unit,inoperable,replace,motor_contactor/ motor,,H20,Y,4/11/16,,4/11/16,,Norm,ML,Marcel Lefebvre,,unit/ motor/ brush/ contactor,,inoperable,replace,,
St#3 Laser tool detection NOK,Sensor adjusted,,,,,,H31,N,4/11/16,,4/11/16,,Alex,JPM,John Murray,,station/ sensor/ tool/ laser,,broken,adjust,detection,
Bolt V Bowl pedestal to floor,Completed,,,complete,,,H7,N,4/11/16,,4/12/16,,JPG,AP,Anthony Paolillo,,bolt/ floor/ bowl,,,complete,,
Loading block spring action sloppy -Possible cause of bad OD chamferring,Replaced sloppy guide bushings and load cylindar rail,,,,,,I4,Y,4/11/16,,4/12/16,,Jose H,DK,Denis Kusiak,,cylinder/ guide/ chamfer,,broken,replace,load/ block,
Parts receiver prox cable shorting sensor,Replaced,,,replace,,,I20,N,4/12/16,,4/13/16,,Norm,LC,Lyle Cookson,,sensor/ part/ cable/ prox,,short,replace,,
Parts receiver sensor faulty - Sensor previously replaced. Cable?,Cable replaced,,,replace,cable,,I20,N,4/12/16,,4/13/16,,Norm,JC,Jon Cousineau,,sensor/ part/ cable,,fault,replace,,
Receiver will not return to home position,Replaced air cylinder,,,,,,Deco 3,Y,4/12/16,,4/14/16,,Norm,JC,Jon Cousineau,,air/ position/ cylinder,,,replace,returning/ home,
Fette thread rolls not locking,Replaced springs in Fette head,,,,,,H16,Y,4/13/16,,4/13/16,,Bruce,JPM,John Murray,,head/ thread,,,replace,locking,
Repeat Vogel faults,Replaced leaking fitting,,,,,,H28,Y,4/13/16,,4/13/16,,Alex,JPM,John Murray,,vogel/ fitting,,leak/ fault,replace,,
Saw drive pin broken on hub,Repaired,saw_drive_pin/ pin/ saw,broken,repair,pin,,H4,Y,4/13/16,,4/13/16,,Russ,AP,Anthony Paolillo,,saw/ pin/ hub,,broken,repair,drive,
Turret 3 Z/X axis not coming under control,Cycled power before arriving -online,,,,,,I1,Y,4/13/16,,4/13/16,,Jose H,JC,Jon Cousineau,,turret/ axis,,,,power/ control/ cycle/ online,
Chip conveyor jam,Cleared,chip_conveyor/ conveyor,jam,clear,chip_conveyor/ conveyor,,I3,N,4/13/16,,4/13/16,,Jose H,SA,Steve Andreozzi,,conveyor/ chip,,jam,clear,,
Accumulator check requested,At 27bar -Charged to 30bar / Also replaced valve stem,accumulator/ low_pressure,check/ low,charge/ replace,accumulator/ low_pressure/ valve_stem/ valve,,H1,N,4/14/16,,4/14/16,,Sam Jett,SA,Steve Andreozzi,,valve/ accumulator,30bar,,replace/ check/ request/ charge,,
Cutoff unit leaking oil,Tightened loose banjo fitting -OPERATOR LEVEL,,,,,,H25,N,4/14/16,,4/14/16,,Alex,AP,Anthony Paolillo,,unit/ operator/ oil/ fitting,,leak/ loose,tighten,level,
Work holding collet broken in housing,Removed broken end of collet,,,,,,H31,Y,4/14/16,,4/14/16,,RES,ML,Marcel Lefebvre,,collet/ housing,,broken,remove,end,
Transport gripper not closing,Replaced damaged sensor cable,,,,,,I1,Y,4/14/16,,4/14/16,,Sam Jett,SA,Steve Andreozzi,,sensor/ cable/ gripper,,broken,replace,transport/ closing,
Gripper will not open or close,Replaced Gripper OPEN sensor cable,,,,,,I1,Y,4/14/16,,4/14/16,,J Con,SA,Steve Andreozzi,,sensor/ cable/ gripper,,,replace,open/ close,
Iemca track # 3 broken,Replaced,,,replace,,,I18,N,4/14/16,,4/14/16,,Norm,JC,Jon Cousineau,,iemca,,broken,replace,track,
Chip conveyor belt not moving -motor is running,Replaced broken clutch discs,chip_conveyor/ conveyor/ belt,will_not_move,replace,clutch_disc/ clutch/ disc,,I3,N,4/14/16,,4/14/16,,JPG,SA,Steve Andreozzi,,motor/ conveyor/ chip/ belt/ clutch/ disc,,broken,replace,running,
No air blast present,Cycled valve and adjusted air flow rate,,,,,,TK1,Y,4/14/16,,4/14/16,,JPG,DK,Denis Kusiak,,valve/ air/ flow,,,adjust,cycle,present
Bar load not completing cuycle,Stock clamp too tight -Set too low OPERATOR LEVEL,bar_load/ stock_clamp/ operator,will_not_cycle/ low/ out_of_adjustment/ location/ level,adjust/ train,clamp/ operator,,H14,Y,4/15/16,,4/15/16,,Bruce,JPM,John Murray,,operator/ clamp/ stock,,,set,bar/ level/ low/ load/ cycle/ completing,
Axis Z3 not coming under control -Alarm,Relaced INOP fan on drive,,,,,,I3,Y,4/15/16,,4/15/16,,Sam Jett,SA,Steve Andreozzi,,axis/ fan,,inoperable/ alarm,replace,drive/ control,
Replace gate closed lock switch,Completed,,,complete,,,Mayfran,N,4/15/16,,4/15/16,,JPG,SA,Steve Andreozzi,,gate,,,replace/ complete,switch/ lock/ closed,
Parts catcher basket broken,Brazed new stem onto basket,,,,,,SC6,Y,4/15/16,,4/15/16,,Sam Jett,SA,Steve Andreozzi,,part/ catcher/ basket,,broken,,new,
Mount air filters on Tschudin cooling intake cabinets,Completed,,,complete,,,Tschudin,N,4/15/16,,4/15/16,,JPG,SA,Steve Andreozzi,,air/ filter/ cabinet/ intake,,,complete,cooling/ mount,
Contactor Overload Faults St#6,Replaced motor starter,,,replace,motor_starter/ motor/ starter,,H14,Y,4/16/16,,4/16/16,,Bruce,AP,Anthony Paolillo,,station/ motor/ contactor/ starter,,fault/ overload,replace,,
St#3 spindle bearings,Spindle bearings replaced (Sat call in),,,,,,H3,Y,4/16/16,,4/16/16,,RES,JPM,John Murray,,station/ spindle/ bearing,,,replace,,
Bar loader lift gate INOP,Replaced missing bolts holding lift gates in place,bar_loader/ lift_gate/ bolt,inoperable/ missing,replace,bolt,,H16,Y,4/16/16,,4/18/16,,Bruce,JPM,John Murray,,loader/ bolt/ gate,,inoperable/ missing,replace,bar,
Electrical failure,Replaced 120V output and board/ high pressure solenoid unit control valve. Power pack filter replaced,,,,,,H6,Y,4/16/16,,4/18/16,,RES,JPM / ML / Tony,Marcel Lefebvre/ John Murray/ Tony Lobo,,unit/ valve/ pressure/ filter/ solenoid/ electrical,,failure,replace,power/ control/ pack/ high,
Alarm #25000 Axis Z12 hardware fault,Replaced performance module 6SN1118,,,,,,I18,Y,4/17/16,,4/27/16,,Norm,JC,Jon Cousineau,,axis/ module,,fault/ alarm,replace,performance,
Chip conveyor making a clicking noise,Replaced missing set screws in shaft bearing collar,chip_conveyor/ conveyor/ set_screw,noise/ missing,replace,set_screw,,H11,N,4/18/16,,4/18/16,,Bob,SA,Steve Andreozzi,,bearing/ conveyor/ chip/ screw/ shaft,,missing/ noise,replace/ set,,
St#3 recess spindle tripping breaker,Plugged into different recepticle (CB111 into CB110) -Recepticale repair on hold until production is lower priority,,,,,,H14,Y,4/18/16,,4/18/16,,RES,AP,Anthony Paolillo,,station/ spindle/ breaker,trip,trip,repair,,
Brushing unit overload tripping,Tightened loose line connector on Reverse side of reversing contactor,brush_unit/ line,overload_fault/ fault/ trip/ loose,tighten,line/ reversing_contactor,,H14,Y,4/18/16,,4/18/16,,Sam Jett,SA,Steve Andreozzi,,unit/ line/ brush/ contactor/ connector,trip,loose/ overload/ trip,tighten,,
St#12 -not firing,Swapped Legacy valve,,,,,,H19,Y,4/18/16,,4/18/16,,Norm,AP,Anthony Paolillo,,station/ valve,,,swap,12/ firing,
Turret 3 not reading prox sensor causing continuos Sync,Removed chips from tip of Home-prox sensor,,,,,,I1,Y,4/18/16,,4/18/16,,J Ware,JC,Jon Cousineau,,sensor/ chip/ turret/ prox,,,remove,home,causing
Z drive fault side A,Changed performance module on Z1 axis,,,,,,I2,Y,4/18/16,,4/18/16,,J Ware,JC,Jon Cousineau,,axis/ module,,fault,,drive/ performance,
Bar pusher locking alarm,Sensor adjusted,bar_pusher,alarm/ locking_alarm,adjust,sensor,,I5,Y,4/18/16,,4/18/16,,Sam Jett,SA,Steve Andreozzi,,sensor/ pusher,,alarm,adjust,bar/ locking,
Coolant pump level fault,Float switch sticking -Operator Level,,,,,,Tsch 2,Y,4/18/16,,4/18/16,,J Clark,JC,Jon Cousineau,,coolant/ pump/ operator,,fault/ stick,,switch/ level,
St#7 spindle play ??,Rebuilt spindle and installed,,,,,,H19,Y,4/18/16,,4/19/16,,Norm,Ap,Anthony Paolillo,,station/ spindle,,,install/ rebuild,play,
U axis alarm,U axis motor failure -New updated motor from Tornos Technologies installed -Motor / Encoder / Cables,,,,,,Deco 3,Y,4/18/16,,4/20/16,,RES,JC,Jon Cousineau,,motor/ cable/ axis/ encoder,,alarm/ failure,install,new,
CB6 breaker tripping when coolant is turned on,Coolant pump plug in arced and burned pins -New HBE18 connectors ordered and installed,,,,,,H38,Y,4/18/16,,4/20/16,,Sam Jett,JPM,John Murray,,coolant/ pump/ breaker/ connector,trip,trip,install/ order,new/ plug/ turned,
Loader issues,Adjustments,loader,issue,,,,AIM 05,N,4/19/16,,4/19/16,,Maina,SA,Steve Andreozzi,,loader,,issue,adjust,,
Collet at cross hole station not releasing parts,Adjusted collet tension and added air tool oil,,,,,,AIM C40,Y,4/19/16,,4/19/16,,Maina,SA,Steve Andreozzi,,station/ part/ air/ tool/ oil/ collet/ cross,,,adjust/ add,,
Accumulator check requested,One of two LP bladders flat. Replaced with spare accumulator -Unit removed to be repaired and stored,accumulator/ bladder/ low_pressure,check/ flat,replace,accumulator/ bladder/ low_pressure,,H14,N,4/19/16,,4/19/16,,Russ,AP,Anthony Paolillo,,unit/ accumulator/ low_pressure/ bladder,,,replace/ repair/ remove/ check/ request,spare,
Broken bar feeder chain,Repaired,bar_feeder/ chain/ bar,broken,repair,bar_feeder/ chain/ bar,,H26,Y,4/19/16,,4/19/16,,J Con,AP,Anthony Paolillo,,chain/ feeder,,broken,repair,bar,
Broken bar feeder chain,Repaired,bar_feeder/ chain/ bar,broken,repair,bar_feeder/ chain/ bar,,H27,Y,4/19/16,,4/19/16,,Alex,AP,Anthony Paolillo,,chain/ feeder,,broken,repair,bar,
HP coolant pump not operating up to pressure,Removed and installed HP pump from TK4,,,,,,TK1,Y,4/19/16,,4/19/16,,Sam Jett,SA,Steve Andreozzi,,coolant/ pump/ pressure,,,remove/ install,hp,
Heavy vibration,Elaso balancing system failure -Installed new NO CONTACT Elaso balancer after bracket fabrication for Tool Room,,,,,,Tsch 2,Y,4/19/16,,4/20/16,,J Clark,DK,Denis Kusiak,,tool/ bracket,,failure,install,new,
Parts conveyor jammed -Link pin out of poaition and damaged box and hinge belt,Torque limiter on clutch failed -Parts ordered/ hinge belt repaired. Installed by Sam and Steve,part_conveyor/ link_pin/ pin/ box/ hinge_belt/ belt/ torque_limiter,jam/ broken/ out_of_adjustment/ location/ fault,repair,hinge_belt,,TK4,Y,4/19/16,,4/26/16,,J Con,JC / JPM / JPG / SA / SJ,Jon Cousineau/ Steve Andreozzi/ John Murray/ Jerry,,conveyor/ part/ belt/ clutch/ position/ pin/ steve/ box,,broken/ jam/ failure,repair/ install/ order,,
Bar loader/collet closing timing is 'off',Adjusted control pivot and bar feed timing,bar_loader/ collet,out_of_adjustment/ timing,adjust,control_pivot/ bar_feed_timing,,H11,Y,4/20/16,,4/21/16,,Bob,ML,Marcel Lefebvre,,loader/ collet,,,adjust,bar/ feed/ control/ closing,
Iemca will not load in AUTO,Facing travel flag stuck in front of prox switch -Operator Level,lemca,will_not_load_in_auto,,,,I18,N,4/20/16,,4/21/16,,Norm,JC,Jon Cousineau,,operator/ iemca/ prox/ flag,,stuck,,switch/ level/ load/ auto/ travel/ facing,
Wear plate broken,Installed by Jorge,,,,,,A76,Y,4/20/16,,4/22/16,,Jorge F,Jorge F,Jorge Flores,,plate,,broken,install,,
St#7B would not operate,Air tool oil added to cyclinder,,,,,,AIM 03,Y,4/21/16,,4/21/16,,Maina,SA,Steve Andreozzi,,station/ operator/ air/ tool/ oil/ cylinder,,,add,,
Station 6A OT faults,Replaced solenoid,,,,,,AIM 04,Y,4/21/16,,4/21/16,,Maina,SA,Steve Andreozzi,,station/ solenoid,,fault,replace,,
Alarm #76 Monitoring end switch basket aligned,Sent machine to Base Position and cleared -Did not repeat,,,,,,Durr,Y,4/21/16,,4/21/16,,Sam Jett,SA,Steve Andreozzi,,machine/ base/ position/ basket,,alarm,clear/ align,switch/ end,
Contacor overload fault,CB22 (St#12) motor phasing -pulled motor and wired a new motor. Installed by Anthony 4/22,,,,,,H39,Y,4/21/16,,4/21/16,,Sam Jett,SA,Steve Andreozzi,,station/ motor/ contactor,,fault/ overload,install,new/ 12,
Saw differential retaining pin missing,Replaced pin and fit clamp blocks properly,saw_differential_retaining_pin/ saw/ pin,lost,replace/ fit,pin/ clamp_block,,H4,Y,4/21/16,,4/21/16,,Russ,AP,Anthony Paolillo,,clamp/ saw/ pin,,missing,replace,block,
Chhip conveyor motor NOK,Reset tripped breaker -No issue reported during 2nd shift,chip_conveyor/ motor/ breaker,inoperable/ trip,reset,breaker,,I4,Y,4/21/16,,4/21/16,,Sam Jett,SA,Steve Andreozzi,,motor/ conveyor/ chip/ breaker,trip,broken/ issue/ trip,reset/ report,shift,
Cycle stops with alarms,Confirmed all encoder cable connections and cycled power -Cleared,,,,,,Deco 3,Y,4/21/16,,4/22/16,,Bruce,JC,Jon Cousineau,,cable/ connector/ encoder,,alarm,clear,power/ stop/ cycle,
Table will not index,Replaced table valve/ ½ index valve/ ST2 pressure switch/ table coil/ clutch motor and relay/ and motor contactor.,table,will_not_index,replace,table_valve/ half_index_valve/ st_2_pressure_switch/ table_coil/ clutch_motor/ relay/ motor_contactor,,H14,Y,4/21/16,,4/22/16,,Bruce,JPM,John Murray,,motor/ valve/ table/ pressure/ clutch/ index/ contactor/ relay/ coil/ st_2,,,replace,switch,
