New Tokens ,P|S|I|X|R|U (Problem/solution/item/stop word/redundant/unsure),Preferred label,Notes
6/13,X,,
repair damage,,,
engagement handle,,,
replaced bottom xd,,,
servo motor,,,
4 time,X,,
swap st#11,,,
control voltage,,,
valve solenoid,,,
rebuild and instal,,,
immediately,,,
air present,,,
counter be double,,,
increase feed pressure,,,
bad key,,,
alter,,,
h25,,,
spindle swap request,,,
bus bar,,,
jam at st#1,,,
change shaft wear,,,
ballast,,,
loose lock,,,
48 hour,,,
loose lock nut,,,
1/4,X,,
48,X,,
part jam,,,
turret have chip,,,
ready signal,,,
6/16,X,,
1/4 turn,,,
cause by blow,,,
sensory,,,
st#7 valve,,,
cnc reset,,,
1/2 table set,,,
2 shut,,,
replaced roll,,,
signal not come,P,will_not_come,
new filter,,,
drift at 1/2,,,
table set,,,
air valve,,,
Sun 6/18,X,,
allow spindle,,,
7b,,,
sort,,,
unit and spray,,,
remove the chiller,,,
diaphram,,,
diaphram pump,,,
rvc check valve,,,
lyle remove,,,
rvc,,,
cycle machine,,,
replace with motor,,,
pack with swarf,,,
swarf and bind,,,
elctrical,,,
training,,,
z3,,,
600,X,,
rvc check,,,
buildup of chip,,,
bad motor,,,
