Date,Mach type,Mach,Effect,Machine Area,Description,Resolution,I,NA,P,S,U,X
3/30/16,,I1,,,Turret not locking,Replaced turret lock sensor,"sensor, turret",,,replace,"lock, locking",
3/30/16,,Reclaim,,,Slow pump oyt; Check centrifuge return pum,Cleaned fines from pump--Routine,pump,,slow,"check, clean",returning,
3/30/16,,TK2,,,Broken window on splash guardr,Replaced with plexiglass,guard,,broken,replace,,
3/31/16,,AIM C58,,,Offload not picking up parts,Cleaned collet actuator,"part, collet, offload, actuator",,,clean,,
3/31/16,,Deco 3,,,Bar load NOT READY alarm; machine not ready,Norm turned the loader into AUTO; !!!!,"machine, loader",,alarm,,"bar, load, auto, turned, ready",
3/31/16,,H2,,,Accumulator check requested,20bar charged to 30bar,accumulator,30bar,,"check, request, charge",20bar,
3/31/16,,H27,,,Overload M17 tripped due to brush unit stuck forward,Unit extended sensor not coming ON; Loose sensor cable tightened ,"unit, sensor, cable, brush",trip,"loose, stuck, overload, trip",tighten,forward,
3/31/16,,H39,,,Install two drill detector brackets,Installed brackets and sensors,"sensor, drill, detector, bracket",,,install,,
3/31/16,,H5,,,Broken bar feeder chain,Repaired,"chain, feeder",,broken,repair,bar,
3/31/16,,H6,,,Maor coolant leak,Main coolant trunk gasket missing; Replaced,coolant,,"leak, missing",replace,"main, major",
3/31/16,,I17,,,Hyd leak at Iemca quick disconnect fitting,Replaced QD Fitting,"hydraulic, iemca, fitting",,leak,replace,,
3/31/16,,I3,,,Chip conveyor jam,Cleared nest of chips drawn under hinge belt,"conveyor, chip, belt",,jam,clear,,
3/31/16,,SC4,,,Feed overload faults,Swap feed motor per Ernie Kraus at Schutte; Swapped but no change,motor,,"fault, overload",swap,"feed, change",
4/1/16,,H27,,,St#9 Brush unit motor falling off mounting bracket,Replaced all mounting bolts with new; Operator level!!,"station, unit, motor, operator, brush, bolt, bracket",fall,,replace,"new, level, fall, mounting",
4/1/16,,I1,,,"Motor too hot, and collision responded alarms",Collision sensor cable pulled from connection; Replaced / Wshorted connection on power pack repaired for too hot alarm,"motor, sensor, cable, connector",,alarm,"replace, repair","power, pack, hot",
4/1/16,,I17,,,HS3 alarm; Spindle shut off,Repaired/Replaced spindles #3 and #5 Motor cables connectors,"motor, spindle, cable, connector",,alarm,"replace, repair",shut,
4/1/16,,I18,,,Cooling missing or consumed alarm,Replaced coolant level sensor,"coolant, sensor",,"alarm, missing",replace,"level, cooling",
4/1/16,,I3,,,Transport/Gripper INOP,Replaced broken cable,"cable, gripper",,"broken, inoperable",replace,transport,
4/1/16,,I4,,,Loose air hose to transport cushion,Replaced fitting; Operator level,"operator, air, hose, fitting",,loose,replace,"level, transport",
4/1/16,,TK3,,,Over travel fault on X axis,Yamazen tech found position location dog on X axis out of position. Machine faulted when unable to find position; Reset dog and grid shift to correct geometry,"machine, axis, position, dog",,"fault, unable","reset, correct","travel, shift",
4/1/16,,TR1,,,Mount shelf behind Hardinge lathe,Completed,shelf,,,complete,mount,
4/2/16,,Roto Finish,,,,,,,,,,
4/4/16,,AIM 03,,,Loader issues,Shuttle assembly loose. 2 of 4 mounting screws stripped; Remounted,"screw, loader",,"loose, issue, strip",,mounting,
4/4/16,,AIM 14,,,St#2B overtime faults,Replaced solenoid ,"station, solenoid",,fault,replace,overtime,
4/4/16,,AIM C43,,,St#2 Not picking up part,Adjusted pick up collet,"station, collet",,,adjust,pick,
4/4/16,,H17,,,Loader vib doesn t stop when feed track is low,Replaced fiber optic sensor,"sensor, loader",,,replace,"feed, low, track, stop",
4/4/16,,H22,,,Bar pusher faulting in same spot repeatedly,"Replaced push dogs, push dog holders, and section of damaged chain","chain, pusher, dog, holder",,"broken, fault",replace,"bar, push",
4/4/16,,H38,,,Spindle Hyd return lines not connected,Connected return lines,"spindle, hydraulic",,,,returning,
4/4/16,,H8,,,Airline leak,Replaced air line,"air, line",air_line,leak,replace,,
4/4/16,,H8,,,Chip conveyor jammed,Replaced broken clutch discs,"conveyor, chip, clutch, disc",,"broken, jam",replace,,
4/4/16,,I1,,,Side A turret leaking coolant,"Removed, cleaned, reinstalled","coolant, turret",,leak,"remove, install, clean",,
4/4/16,,I19,,,Ruptured airline at main inlet,Repaired airline,,air_line,rupture,repair,main,
4/4/16,,TK3,,,Return brackets and guards,Replaced,"guard, bracket",,,replace,returning,
4/4/16,,Tsch 1,,,No coolant flow; To grind wheel,Sticking valve freed;  New valve from Coax ordered,"valve, coolant, flow, wheel",,stick,order,"new, grind",
4/5/16,,H23,,,Vogel leak at St#3,Replaced fitting; Operator level,"station, operator, vogel, fitting",,leak,replace,level,
4/5/16,,H26,,,St#12 brush unit needs rebuild; Pulleys wearing out,No issue other than bad belt; Replaced,"station, unit, belt, brush, pulley",,"broken, issue","replace, rebuild, need",12,
4/5/16,,H34,,,Broken pin in saw head,Long time getting retainer off hun to replace pin,"head, saw, pin",,broken,replace,time,
4/5/16,,H38,,,Machine in E Stop mode,Replaced blown fuse ,"machine, fuse",,blown,replace,stop,
4/5/16,,H4,,,HP Hyd pump leaking hyd,Replaced leaking pump,"hydraulic, pump",,leak,replace,hp,
4/5/16,,H8,,,St#6 Vertical mill not rotating,Replaced broken drive shaft; Mill head OK,"station, head, shaft, vertical",,broken,"replace, ok",drive,
4/5/16,,I17,,,Offload automation sometimes not retracting stop pin at end of cycle,Minor adjustment made to slide home sensor,"sensor, pin, offload, slide",,,adjust,"end, stop, cycle, home",
4/5/16,,TK4,,,Collet jammed in spindle housing,Collet not installed correctly......locking screw set into retaining threads of 5C collet. Cleared and new collet installed but drive borrowed for TK2; Repairs completed with Tech assist on 4/15,"spindle, screw, collet, housing, thread",,jam,"repair, complete, install, clear, set","new, drive, locking",
4/6/16,,AIM 05,,,Parts not feeding well at station #1,Increased air flow at end of track jet,"station, part, air, flow",,,,"track, end, feeding",
4/6/16,,H3,,,Table index OT faults,Cleared chips from table down prox /Replaced prox / Set table speed,"table, chip, prox, index, speed",,fault,"replace, clear, set",,
4/6/16,,H4,,,Broken pin on saw head,Replaced entire cutoff unit due to beaing failure in spline drive; wrong pulleys on drive,"unit, bearing, head, saw, pin, pulley",,"broken, failure",replace,drive,
4/6/16,,I3,,,Chip conveyor jam,Cleared,"conveyor, chip",,jam,clear,,
4/6/16,,ISO AIM ,,,Replace missing and broken outlet covers,Completed,cover,,"broken, missing","replace, complete",,
4/6/16,,Sinico,,,Accumulator check requested; Saw unit dropped,Main accumulator flat; Replaced bladder ,"unit, accumulator, saw, bladder",,,"replace, check, request",main,
4/6/16,,T92,,,Swap coolant pump with T98 for increased coolant flow,T98 not compatable; Repaired drive on exising pump but flow dod not increase,"coolant, pump, flow",,,"repair, swap",drive,
4/6/16,,T97,,,Machine drifting into work zone,Clutch adjusted,"machine, clutch",,,adjust,,
4/7/16,,ES1,,,Main head stock; broken adjusting screws for tooling post #1 and #2,Retrieved main head stock from machine at Induplate and installed after cleaning and lubing,"machine, screw, head, stock",,broken,"install, adjust, clean",main,
4/7/16,,H11,,,Wire two new motors for Sensata,Completed,"motor, wire",,,complete,new,
4/7/16,,H14,,,Accumulator check requested,Both LP acc low at 15bar; Charged to 30bar,"accumulator, low_pressure",30bar,,"check, request, charge",low,
4/7/16,,H23,,,Vogel faults,Relaced manifold fitting at St#3; Was replaced on 4/5,"station, vogel, fitting",,fault,replace,,
4/7/16,,H29,,,Table index OT faults,Cleared chips from table down prox /Replaced prox / Set table speed,"table, chip, prox, index, speed",,fault,"replace, clear, set",,
4/7/16,,H38,,,Pendant not responding,Replaced main bundle cable; Tony adjusted program afetr completed,"cable, pendant, person",,,"replace, complete, adjust",main,
4/7/16,,H4,,,Vogel faults,Replaced T fitting,"vogel, fitting",,fault,replace,,
4/7/16,,H8,,,Table index OT faults,Replaced table down prox,"table, prox, index",,fault,replace,,
4/7/16,,I5,,,Hyd leak at rear of Iemca,Replaced leaking hyd hose; Aslo preemptively replace 3 other hyd hoses,"hydraulic, iemca, hose, rear",,leak,replace,,
4/7/16,,RM223,,,Rebuilt dresser cylindar and directional valve,Spares to be installed when production requires,"valve, cylinder",,,"install, rebuild, require",spare,
4/7/16,,TK1,,,Air leak at FRL,Pieced together a replacement bowl on filter part of FRL,"air, filter, replacement, bowl",,leak,,frl,
4/7/16,,Tsch 1,,,Failure Frequency converter B #2024 Alrm,Unidrive replaced by RT Eng tech; Old unit sent for refurb,unit,,"alarm, failure",replace,,
4/8/16,,H36,,,Broken inverter rod,JPM minor assit to Alex for repair,"inverter, rod, person",,broken,repair,,
4/8/16,,I2,,,Side A turret not locking,No issue found; Cleaned and reset turret,turret,,issue,"clean, reset",locking,
4/9/16,,H14,,,Broken spring in recessing unit,Swapped recess spindle; Will rebuild unit removed,"unit, spindle",,broken,"remove, rebuild, swap",,
4/9/16,,I20,,,Receiving unit INOP,Replaced prox switch registering parts catcher position,"unit, part, prox, position, catcher",,inoperable,replace,switch,
4/11/16,,H17,,,St#6 Spindle seized,Rebuilt both front end and back end of spindle; Online for 2pm,"station, spindle",,seize,rebuild,"end, online",
4/11/16,,H19,,,St#12 (trepan) not repeating? Random length,Started after operator changed tool; 2nd shift operator reset tool and closed containment,"station, operator, tool",,,reset,"12, shift, closed",
4/11/16,,H20,,,Brush unit INOP,Replaced motor contactor,"unit, motor, brush, contactor",,inoperable,replace,,
4/11/16,,H31,,,St#3 Laser tool detection NOK,Sensor adjusted,"station, sensor, tool, laser",,broken,adjust,detection,
4/11/16,,H7,,,Bolt V Bowl pedestal to floor,Completed,"bolt, floor, bowl",,,complete,,
4/11/16,,I4,,,Loading block spring action sloppy; Possible cause of bad OD chamferring,Replaced sloppy guide bushings and load cylindar rail,"cylinder, guide, chamfer",,broken,replace,"load, block",
4/12/16,,Deco 3,,,Receiver will not return to home position,Replaced air cylinder,"air, position, cylinder",,,replace,"returning, home",
4/12/16,,I20,,,Parts receiver prox cable shorting sensor,Replaced,"sensor, part, cable, prox",,short,replace,,
4/12/16,,I20,,,Parts receiver sensor faulty;  Sensor previously replaced. Cable?,Cable replaced,"sensor, part, cable",,fault,replace,,
4/13/16,,H16,,,Fette thread rolls not locking,Replaced springs in Fette head,"head, thread",,,replace,locking,
4/13/16,,H28,,,Repeat Vogel faults,Replaced leaking fitting,"vogel, fitting",,"leak, fault",replace,,
4/13/16,,H4,,,Saw drive pin broken on hub,Repaired,"saw, pin, hub",,broken,repair,drive,
4/13/16,,I1,,,Turret 3 Z/X axis not coming under control,Cycled power before arriving; online,"turret, axis",,,,"power, control, cycle, online",
4/13/16,,I3,,,Chip conveyor jam,Cleared,"conveyor, chip",,jam,clear,,
4/14/16,,H1,,,Accumulator check requested,At 27bar; Charged to 30bar / Also replaced valve stem,"valve, accumulator",30bar,,"replace, check, request, charge",,
4/14/16,,H25,,,Cutoff unit leaking oil ,Tightened loose banjo fitting; OPERATOR LEVEL,"unit, operator, oil, fitting",,"leak, loose",tighten,level,
4/14/16,,H31,,,Work holding collet broken in housing,Removed broken end of collet,"collet, housing",,broken,remove,end,
4/14/16,,I1,,,Transport gripper not closing,Replaced damaged sensor cable,"sensor, cable, gripper",,broken,replace,"transport, closing",
4/14/16,,I1,,,Gripper will not open or close,Replaced Gripper OPEN sensor cable,"sensor, cable, gripper",,,replace,"open, close",
4/14/16,,I18,,,Iemca track # 3 broken,Replaced,iemca,,broken,replace,track,
4/14/16,,I3,,,Chip conveyor belt not moving; motor is running,Replaced broken clutch discs,"motor, conveyor, chip, belt, clutch, disc",,broken,replace,running,
4/14/16,,TK1,,,No air blast present,Cycled valve and adjusted air flow rate,"valve, air, flow",,,adjust,cycle,present
4/15/16,,H14,,,Bar load not completing cuycle,Stock clamp too tight; Set too low OPERATOR LEVEL,"operator, clamp, stock",,,set,"bar, level, low, load, cycle, completing",
4/15/16,,I3,,,Axis Z3 not coming under control; Alarm,Relaced INOP fan on drive,"axis, fan",,"inoperable, alarm",replace,"drive, control",
4/15/16,,Mayfran,,,Replace gate closed lock switch,Completed,gate,,,"replace, complete","switch, lock, closed",
4/15/16,,SC6,,,Parts catcher basket broken,Brazed new stem onto basket,"part, catcher, basket",,broken,,new,
4/15/16,,Tschudin,,,Mount air filters on Tschudin cooling intake cabinets,Completed,"air, filter, cabinet, intake",,,complete,"cooling, mount",
4/16/16,,H14,,,Contactor Overload Faults St#6,Replaced motor starter,"station, motor, contactor, starter",,"fault, overload",replace,,
4/16/16,,H16,,,Bar loader lift gate INOP,Replaced missing bolts holding lift gates in place,"loader, bolt, gate",,"inoperable, missing",replace,bar,
4/16/16,,H3,,,St#3 spindle bearings,Spindle bearings replaced (Sat call in),"station, spindle, bearing",,,replace,,
4/16/16,,H6,,,Electrical failure,"Replaced 120V output and board, high pressure solenoid unit control valve. Power pack filter replaced","unit, valve, pressure, filter, solenoid, electrical",,failure,replace,"power, control, pack, high",
4/17/16,,I18,,,Alarm #25000 Axis Z12 hardware fault,Replaced performance module 6SN1118,"axis, module",,"fault, alarm",replace,performance,
4/18/16,,Deco 3,,,U axis alarm,U axis motor failure; New updated motor from Tornos Technologies installed; Motor / Encoder / Cables,"motor, cable, axis, encoder",,"alarm, failure",install,new,
4/18/16,,H11,,,Chip conveyor making a clicking noise,Replaced missing set screws in shaft bearing collar,"bearing, conveyor, chip, screw, shaft",,"missing, noise","replace, set",,
4/18/16,,H14,,,St#3 recess spindle tripping breaker,Plugged into different recepticle (CB111 into CB110); Recepticale repair on hold until production is lower priority,"station, spindle, breaker",trip,trip,repair,,
4/18/16,,H14,,,Brushing unit overload tripping,Tightened loose line connector on Reverse side of reversing contactor,"unit, line, brush, contactor, connector",trip,"loose, overload, trip",tighten,,
4/18/16,,H19,,,St#12; not firing,Swapped Legacy valve,"station, valve",,,swap,"12, firing",
4/18/16,,H19,,,St#7 spindle play ??,Rebuilt spindle and installed,"station, spindle",,,"install, rebuild",play,
4/18/16,,H38,,,CB6 breaker tripping when coolant is turned on,Coolant pump plug in arced and burned pins; New HBE18 connectors ordered and installed,"coolant, pump, breaker, connector",trip,trip,"install, order","new, plug, turned",
4/18/16,,I1,,,Turret 3 not reading prox sensor causing continuos Sync,Removed chips from tip of Home-prox sensor,"sensor, chip, turret, prox",,,remove,home,causing
4/18/16,,I2,,,Z drive fault side A,Changed performance module on Z1 axis,"axis, module",,fault,,"drive, performance",
4/18/16,,I5,,,Bar pusher locking alarm,Sensor adjusted,"sensor, pusher",,alarm,adjust,"bar, locking",
4/18/16,,Tsch 2,,,Coolant pump level  fault,Float switch sticking; Operator Level,"coolant, pump, operator",,"fault, stick",,"switch, level",
4/19/16,,AIM 05,,,Loader issues,Adjustments ,loader,,issue,adjust,,
4/19/16,,AIM C40,,,Collet at cross hole station not releasing parts,Adjusted collet tension and added air tool oil,"station, part, air, tool, oil, collet, cross",,,"adjust, add",,
4/19/16,,H14,,,Accumulator check requested,One of two LP bladders flat. Replaced with spare accumulator; Unit removed to be repaired and stored,"unit, accumulator, low_pressure, bladder",,,"replace, repair, remove, check, request",spare,
4/19/16,,H26,,,Broken bar feeder chain,Repaired,"chain, feeder",,broken,repair,bar,
4/19/16,,H27,,,Broken bar feeder chain,Repaired,"chain, feeder",,broken,repair,bar,
4/19/16,,TK1,,,HP coolant pump not operating up to pressure,Removed and installed HP pump from TK4,"coolant, pump, pressure",,,"remove, install",hp,
4/19/16,,TK4,,,Parts conveyor jammed; Link pin out of poaition and damaged box and hinge belt,"Torque limiter on clutch failed; Parts ordered, hinge belt repaired. Installed by Sam and Steve","conveyor, part, belt, clutch, position, pin, steve, box",,"broken, jam, failure","repair, install, order",,
4/19/16,,Tsch 2,,,Heavy vibration ,Elaso balancing system failure; Installed new NO CONTACT Elaso balancer after bracket fabrication for Tool Room,"tool, bracket",,failure,install,new,
4/20/16,,A76,,,Wear plate broken,Installed by Jorge,plate,,broken,install,,
4/20/16,,H11,,,Bar loader/collet closing timing is  off ,Adjusted control pivot and bar feed timing,"loader, collet",,,adjust,"bar, feed, control, closing",
4/20/16,,I18,,,Iemca will not load in AUTO,Facing travel flag stuck in front of prox switch; Operator Level,"operator, iemca, prox, flag",,stuck,,"switch, level, load, auto, travel, facing",
4/21/16,,AIM 03,,,St#7B would not operate,Air tool oil added to cyclinder,"station, operator, air, tool, oil, cylinder",,,add,,
4/21/16,,AIM 04,,,Station 6A OT faults,Replaced solenoid ,"station, solenoid",,fault,replace,,
4/21/16,,Deco 3,,,Cycle stops with alarms,Confirmed all encoder cable connections and cycled power; Cleared,"cable, connector, encoder",,alarm,clear,"power, stop, cycle",
4/21/16,,Durr,,,Alarm #76 Monitoring end switch basket aligned,Sent machine to Base Position and cleared; Did not repeat,"machine, base, position, basket",,alarm,"clear, align","switch, end",
4/21/16,,H14,,,Table will not index,"Replaced table valve,1/2 index valve, ST2 pressure switch, table coil, clutch motor and relay, and motor contactor.  ","motor, valve, table, pressure, clutch, index, contactor, relay, coil, st_2",,,replace,switch,
4/21/16,,H3,,,St#2 bearings confirmed as worn,Spindle bearings replaced,"station, spindle, bearing",,worn,replace,,
4/21/16,,H39,,,Contacor overload fault,CB22 (St#12) motor phasing; pulled motor and wired a new motor. Installed by Anthony 4/22,"station, motor, contactor",,"fault, overload",install,"new, 12",
4/21/16,,H4,,,Saw differential retaining pin missing,Replaced pin and fit clamp blocks properly,"clamp, saw, pin",,missing,replace,block,
4/21/16,,I4,,,Chhip conveyor motor NOK,Reset tripped breaker; No issue reported during 2nd shift,"motor, conveyor, chip, breaker",trip,"broken, issue, trip","reset, report",shift,
4/21/16,,Sinico,,,Hydraulic leak / Lubrication system faults,Replaced leaking central lubrication hose,"hydraulic, hose",,"leak, fault",replace,,
4/22/16,,RM227,,,Regulating wheel drive worn,"Replaced Universal, pulley shafts, and bushings","shaft, wheel, pulley",,worn,replace,"drive, regulating",
4/23/16,,H7,,,HP coolant pump INOP; Plugin burned,Replaced plugin connectors and burned wire,"coolant, pump, wire, connector",,inoperable,replace,hp,
4/23/16,,NM2,,,Request to relocate Tri Mist receptical from side of machine to top; Keeps getting hit by Hydro Operators,Completed,"machine, operator",,,"complete, request",,
4/25/16,,AIM 05,,,Station #1 out of alignment; Part jam,Aligned station and adjusted air flow to centering cylinder,"station, air, flow, cylinder",,jam,"adjust, align",,
4/25/16,,C 46,,,Vacuum pump for clean room INOP,"New pump ordered, arrived, and inventoried / Steve repaired pump on 4/25; JPM installed repaired pump before new arrived","pump, steve, person, inventory",,inoperable,"repair, install, clean, order",new,
4/25/16,,Eng,,,A/C unit ducting through ceiling requested,Completed,unit,,,"complete, request",,
4/25/16,,H10,,,Spindles turning off at start,Drill detection shutting machine down as it should; Tip of detection wand missing OPERATOR LEVEL,"spindle, machine, operator, drill",,missing,,"level, detection, start",
4/25/16,,H19,,,St#12 not firing,Valve ON/OFF flow control loose; Operator Level,"station, valve, operator, flow",,loose,,"control, level, 12, firing",
4/25/16,,H23,,,CNC unit not coming ON,Replaced motor with VFD,"unit, motor, cnc",,,replace,,
4/25/16,,H3,,,Inverter leaking Hydraulic,Replaced seals in inverter,"hydraulic, inverter",,leak,replace,seal,
4/25/16,,H31,,,Power pack filter,Filter replaced,filter,,,replace,"power, pack",
4/25/16,,H34,,,Safety switch ST#6 NOK,Quick change type; Button replaced,"station, safety",,broken,replace,"switch, change",
4/25/16,,H37,,,Coolant pump motor fan NOK,Replaced,"motor, coolant, pump, fan",,broken,replace,,
4/25/16,,H4,,,Chip conveyor jammed,Removed conveyor to clear chip jam,"conveyor, chip",,jam,"remove, clear",,
4/25/16,,I3,,,Drive fault; Drive link OFF,Replaced battery and performed NC reset,,,fault,"replace, reset",drive,
4/25/16,,I4,,,Chip conveyor motor overload faults,Reset overload; 4/26 Chip conveyor INOP reported. Motor hot,"motor, conveyor, chip",,"inoperable, fault, overload","reset, report","hot, 26",
4/25/16,,SC9,,,Servo drive not ready,Replaced ER module and LT module; Was ok but faulted again at 1400,"module, servo",,fault,"replace, ok","drive, ready",
4/26/16,,AIM 03,,,Part jam at loader,Station #1 nest out of position; Realigned,"station, loader, position",,jam,align,,
4/26/16,,AIM 04,,,Parts vibrating and moving in Station #1,Aligned station #1,"station, part",,,align,,
4/26/16,,AIM 10,,,Loader not finishing cycle,Adjusted sensor   ,"sensor, loader",,,adjust,cycle,
4/26/16,,AIM 11,,,Parts jamming in track at St#10,Replaced worn jaws,"station, part",,worn,replace,"10, track",
4/26/16,,CG231,,,Heavy grinding noise from regulating wheel gearbox,"Removed VSD and gearbox to replace shaft, worm gear, bearings, sheave.","bearing, shaft, wheel, gear",,noise,"replace, remove",regulating,
4/26/16,,H28,,,No Power to machine,Pendanr cable twisted; Repaired #706 and #602 wires,"machine, cable, pendant",,,repair,power,
4/26/16,,H29,,,Table index OT faults; Heavy leak,Pulled base and removed table index valve for rebuild. Valve bore scored badly; new valve purchased and installed,"valve, table, base, index",,"broken, leak, fault","remove, install, rebuild",new,
4/26/16,,H39,,,Oil leak / Bar not feeding alarm,Bar not feeding alarm caused by bar stuck in stock clamp / Coolant line feeding table ruptured; New hose mfg at Haldeman and installed,"coolant, table, clamp, oil, hose, line, stock",,"leak, alarm, stuck, rupture",install,"bar, new, feeding",
4/26/16,,H8,,,Vogel leak at pressure gage,Thread sealer pn gage threading,"pressure, vogel, thread",,leak,,,
4/26/16,,I3,,,Side B turret full of chips; Leaking,Removed and cleaned while offlinf (Side B Ball Screw),"chip, screw, turret, ball",,leak,"remove, clean",,
4/26/16,,I4,,,Chip conveyor motor hot; tripping breaker,Chip conveyor jammed; clutch too tight causing overtemp fault. Cleared chip jam and reset breaker,"motor, conveyor, chip, clutch, breaker",trip,"fault, jam, trip","reset, clear",hot,causing
4/27/16,,Ewag,,,Spindle stops while in grind cycle,Replaced bad coupling,spindle,,broken,replace,"stop, cycle, grind",
4/27/16,,H20,,,St#5 brushing unit free spinning; Loose brake,Bad clutch; replaced motor,"station, unit, motor, clutch, brush, brake",,"broken, loose",replace,,
4/27/16,,H39,,,Reported as Limit Switch Failed,Actual issue is bar stuck in stock clamp; Reset button pressed!!,"clamp, stock",,"issue, stuck, failure","reset, report","bar, switch, limit",
4/27/16,,I4,,,Chip conveyor jamming causing motor overtemp breaker trip,Multiple alarms arose from this incident. John Pyers and Doug called in to repair. Hard drive and control panel replaced. Multiple drives and ER module swapped with I3. Failed again with Speed and manipulator faults on 5/11.,"motor, conveyor, chip, breaker, module, speed, panel",,"fault, alarm, failure","replace, repair, swap","drive, control, 11","multiple, causing"
4/28/16,,H14,,,St#4 valve varying time cycle,No Issue. Russ had previously reset the valve by opening fully for a cycle then adjusting,"station, valve, person",,issue,"adjust, reset","cycle, time",
4/28/16,,H15,,,Leak at filter housing on Power Pack,Bad seal on housing canister replaced,"filter, housing",,"broken, leak",replace,"power, seal, pack",
4/28/16,,H31,,,Need new drill detector wand,Seriously??,"drill, detector",,,need,new,
4/28/16,,H32,,,Bar chain broken,Chain OK; Came of rear sproket. Reset ,"chain, rear",,broken,"reset, ok",bar,
4/28/16,,H39,,,Bar not feeding  ,Prox chord attached to loading valve sensor; Not attached (??),"valve, sensor, prox",,,,"bar, load, feeding",
4/28/16,,H6,,,No pwer to pendant,Replaced L-3 fuse in overhead bus plug,"fuse, pendant",,,replace,"power, plug",
4/29/16,,H3,,,ST#2 spindle bearings worn,Bearings replaced in back end section only; ,"station, spindle, bearing",,worn,replace,end,
4/29/16,,H31,,,St#3 tool detection laser NOK,Adjusted sensor frequency AGAIN,"station, sensor, tool, laser",,broken,adjust,detection,
4/29/16,,H39,,,Reinforce railing at mag filter,Added two bolts to hold down plate on conveyor box,"conveyor, filter, plate, bolt, box",,,add,,
4/29/16,,H39,,,Pusher dog went under magazine tray,Removed tray and reset loader,"loader, pusher, dog",,,"remove, reset",,
4/29/16,,RM222,,,Cannot adjust speed for regulating wheel,Adjusting wheel shaft pin obstructing rotation; Ground down,"shaft, wheel, pin, speed",,,adjust,regulating,
5/2/16,,AIM 06,,,Bind at loader,Freed the bind but action is not smooth; May need Eng rework,loader,,,need,,
5/2/16,,Buehler Saw,,,Will not start,Magnetic interlock! Magnet part of lid is missing. Fabricated new magnetic trigger and mounted to lid,interlock,,missing,,"new, start",
5/2/16,,H15,,,St#6 Vertical motor loose,Gear box separating; Replaced with new GRM / Mill head replaced the next day 5/3,"station, motor, head, gear, vertical, box",,loose,replace,new,
5/2/16,,H22,,,St#10 spindle bearings bad,Swapped 35/60 with rebuilt unit on shelf,"station, unit, spindle, bearing, shelf",,broken,"rebuild, swap","10, 35, 60",
5/2/16,,H27,,,Dip pan will not drain,Used an air hose to clear drain for operator; OPERATOR LEVEL,"operator, air, hose",,,clear,"level, used",
5/2/16,,H31,,,Accumulator check requested,Was at 30bar; No issue,accumulator,30bar,issue,"check, request",,
5/2/16,,H39,,,Bad gear on saw unit,Swing shaft gear OK; Saw head swapped due to bearing wear,"unit, bearing, head, saw, shaft, gear",,broken,"ok, swap",,
5/2/16,,H8,,,Broken collet in collet housing #1,Removed housing and broken collet. Cleaned and reset clamping mechanism,"clamp, collet, housing",,broken,"remove, clean, reset",,
5/2/16,,I19,,,Electrical box on gusher pump at chiller unit broken,Repaired,"unit, pump, electrical, box",,broken,repair,,
5/2/16,,I2,,,Alarm; Cylinder chucking pressure left by itself,Replaced chucking pressure valve with used valve but could not adjust pressure. Swapped A to B and B to A; machine ran,"valve, machine, pressure, cylinder",,alarm,"replace, adjust, swap","used, left, run",
5/2/16,,I2,,,Chucking cyclinder pressure alarms,Swapped solenoid valves A to B / B to A,"valve, pressure, solenoid, cylinder",,alarm,swap,,
5/2/16,,I6,,,Drive faults,Replaced LT module on Sp#4,"spindle, module",,fault,replace,drive,
5/2/16,,Sinico,,,Breaker for motor overtemp tripping,Short in motor temp switch wiring. Difficulty pulling wire from counduit. Replaced wiring and conduit,"motor, breaker, wire",trip,"trip, short",replace,switch,
5/3/16,,A75,,,P/O spindle reported running out causing eccentric ID chamfer,P/O spindle removed and rebuilt; bearings and critical internal components replaced,"spindle, bearing, chamfer",,,"replace, remove, rebuild, report",running,causing
5/3/16,,H12,,,Remove old load table / Bolt pedestal ,Completed,"table, bolt",,,"remove, complete",load,
5/3/16,,H27,,,Power outlet on table cracked,Replaced,table,,,replace,power,
5/3/16,,H32,,,Table reported to have indexed without operator selecting it to do so,Found the table to be drifting; Table indexing valve replaced 6/1 by anthony,"valve, table, operator, index",,,"replace, report",,
5/3/16,,H5,,,Broken screws on loader tray; opers slamming bars,Replaced broken screws for bar loader tray. ,"screw, loader",,broken,replace,bar,
5/3/16,,H8,,,Straddle mill cutter needs screws removed,Sectioned the tool holder to access damaged screws; Aligned each section and replaced M6 C Sink screws ,"screw, tool, holder",,broken,"replace, remove, need, align",,
5/4/16,,H17,,,Unloader horizontal fault,Reset unload station and cycled power,station,,fault,reset,"power, cycle",
5/4/16,,H2,,,No Power / Machine will not start,Repair broken output card,machine,,broken,repair,"power, start",
5/4/16,,H20,,,Loader INOP    ,Cancelled; Sackda repaired and was running,loader,,inoperable,repair,running,
5/4/16,,H31,,,St#4 bearing check,Replaced spindle with inventory unit,"station, unit, spindle, bearing, inventory",,,"replace, check",,
5/4/16,,H39,,,Accumulator check requested,OK at 30bar,accumulator,30bar,,"check, request, ok",,
5/4/16,,SC1,,,Workzone light INOP,Installed new lihghting fixture,light,,inoperable,install,new,
5/5/16,,H11,,,Accumulator check requested,Both accumulators at 25bar; charged to 30bar,accumulator,30bar,,"check, request, charge",25bar,
5/5/16,,H14,,,Broken feeder chain,Repaired,"chain, feeder",,broken,repair,,
5/5/16,,H15,,,St#6 Vertical mill motor / pulley worn,Re keyed pulley and hub; Was too small,"station, motor, pulley, vertical, hub",,worn,,,
